snapped_at,price,market_cap,total_volume
2022-04-11 00:00:00 UTC,2.532630654136203e-08,0.0,2258217.1377942404
2022-04-12 00:00:00 UTC,2.532630654136203e-08,0.0,2258217.1377942404
2022-04-13 00:00:00 UTC,1.8368793996991423e-08,0.0,1989070.9114424582
2022-04-14 00:00:00 UTC,1.8258565829539747e-08,0.0,853876.294751144
2022-04-15 00:00:00 UTC,1.3118505380463386e-08,0.0,460125.15815916384
2022-04-16 00:00:00 UTC,1.8726205299371776e-08,0.0,374969.1668023339
2022-04-17 00:00:00 UTC,1.6217796996796248e-08,0.0,185832.60571264662
2022-04-18 00:00:00 UTC,1.7385930327102116e-08,0.0,172600.38535720992
2022-04-19 00:00:00 UTC,1.4918219866914596e-08,0.0,132785.72162709385
2022-04-20 00:00:00 UTC,1.4952668477658166e-08,0.0,81132.2881096835
2022-04-21 00:00:00 UTC,1.3577537292955401e-08,0.0,111679.91789716524
2022-04-22 00:00:00 UTC,1.5536298285890964e-08,0.0,138739.6602079409
2022-04-23 00:00:00 UTC,2.5060108097142876e-08,0.0,1045365.4616580564
2022-04-24 00:00:00 UTC,1.9458440873998912e-08,0.0,158109.01730170782
2022-04-25 00:00:00 UTC,1.6962229452637185e-08,0.0,166049.48729887544
2022-04-26 00:00:00 UTC,1.7491043434791433e-08,0.0,100226.98972423801
2022-04-27 00:00:00 UTC,1.5971041590741617e-08,0.0,110542.37820448863
2022-04-28 00:00:00 UTC,1.854892938550536e-08,0.0,117652.49426968402
2022-04-29 00:00:00 UTC,1.9556518097145758e-08,0.0,227452.2358458762
2022-04-30 00:00:00 UTC,1.7735269160158455e-08,0.0,85164.69118372147
2022-05-01 00:00:00 UTC,1.732904027182817e-08,0.0,80836.71584614029
2022-05-02 00:00:00 UTC,1.6504737058343074e-08,0.0,77380.36544707722
2022-05-03 00:00:00 UTC,1.7637673541996253e-08,0.0,54998.26221872144
2022-05-04 00:00:00 UTC,1.910639904999985e-08,0.0,78297.67101824729
2022-05-05 00:00:00 UTC,1.9962502221729682e-08,0.0,99870.02116575626
2022-05-06 00:00:00 UTC,2.0766892428450383e-08,0.0,71751.61926809754
2022-05-07 00:00:00 UTC,2.1992733752814155e-08,0.0,96597.49731793674
2022-05-08 00:00:00 UTC,2.1358769542100648e-08,0.0,49970.453872745864
2022-05-09 00:00:00 UTC,2.0824208133705195e-08,0.0,64953.367060743185
2022-05-10 00:00:00 UTC,1.8487842563508993e-08,0.0,62861.16156481968
2022-05-11 00:00:00 UTC,2.0290856782953095e-08,0.0,79250.39877835734
2022-05-12 00:00:00 UTC,1.6501507733085932e-08,0.0,113237.46837704067
2022-05-13 00:00:00 UTC,1.5740784061726073e-08,0.0,88365.52190889433
2022-05-14 00:00:00 UTC,1.6398900552221652e-08,0.0,66358.54319198428
2022-05-15 00:00:00 UTC,1.71881092112141e-08,0.0,76534.32174650754
2022-05-16 00:00:00 UTC,2.0155988439840964e-08,0.0,68558.84432247539
2022-05-17 00:00:00 UTC,2.3558112279283565e-08,0.0,449820.2032634785
2022-05-18 00:00:00 UTC,2.187849527364227e-08,0.0,115350.68311010112
2022-05-19 00:00:00 UTC,2.0672889914314614e-08,0.0,47463.28037981447
2022-05-20 00:00:00 UTC,2.409608959756793e-08,0.0,63759.98976231048
2022-05-21 00:00:00 UTC,2.8824179285024484e-08,0.0,150227.22240284074
2022-05-22 00:00:00 UTC,7.825738143263457e-08,0.0,1176978.2872392058
2022-05-23 00:00:00 UTC,6.051555178719486e-08,0.0,1881315.3329166858
2022-05-24 00:00:00 UTC,6.452276967882438e-08,6141369.159298047,710655.950944802
2022-05-25 00:00:00 UTC,7.759135650770868e-08,7361888.496617174,341561.46501640894
2022-05-26 00:00:00 UTC,1.52291662515412e-07,14261105.671570774,2204453.1895148545
2022-05-27 00:00:00 UTC,3.0635748723258057e-07,27135836.22975276,3908269.5733042876
2022-05-28 00:00:00 UTC,4.4547977232187454e-07,40625921.10616093,6028908.304274178
2022-05-29 00:00:00 UTC,3.4179839299231725e-07,30324705.613555554,15509234.05328704
2022-05-30 00:00:00 UTC,3.82568794743746e-07,36239305.6295906,5468880.838691616
2022-05-31 00:00:00 UTC,3.432928995028428e-07,32434478.72745398,2094802.5035082544
2022-06-01 00:00:00 UTC,4.288527999774857e-07,38509972.66046546,1926415.5695372964
2022-06-02 00:00:00 UTC,4.292922492970613e-07,40641335.09634975,3498949.4784679012
2022-06-03 00:00:00 UTC,3.607685239070738e-07,33883114.141323745,1561393.118991696
