,last_calculation,market,prob_last_slope,prob_macd,prob_macd_diff,prob_stochastic,prob_rsi,prob_corr_btc,avg,logreg_proba,rf_proba,logreg_rf_combine
155,2024-05-16 17:46:11.899435,irisusdt,0.5046896025386114,1.0,0.4814617136350698,0.6265520190879216,0.5102813650550395,0.444431387375972,0.594569347948769,0.9071863850110712,0.9,0.9035931925055356
26,2024-05-16 17:46:11.899435,arkmusdt,0.5844948839749905,0.7182339762854488,0.546503315672731,0.6034088071256138,0.5463847588897054,0.5347904274450132,0.5889693615655839,0.8369176781529024,0.8,0.8184588390764512
171,2024-05-16 17:46:11.899435,leverusdt,0.5661447055993138,0.8117073990089864,0.5266240754110421,0.6329404060248854,0.513090900316112,0.425988942254717,0.5794160714358428,0.8211000444518328,0.8,0.8105500222259164
300,2024-05-16 17:46:11.899435,vicusdt,0.6529118698454697,1.0,0.6523555433939892,0.594960254797527,0.5964515299562869,0.23330383006115224,0.6216638380090708,0.8034928507936981,0.8,0.8017464253968491
231,2024-05-16 17:46:11.899435,psgusdt,0.8894658997534922,0.5,0.8009352432816385,0.6782023475376372,0.4925242800104888,0.46667944812503104,0.6379678697847145,0.7501829022513951,0.8,0.7750914511256976
297,2024-05-16 17:46:11.899435,vanryusdt,0.48146171363506973,0.40904281582845453,0.4017097650253867,0.6220672745383495,0.5420438758312836,0.7752155604571888,0.5385901675526222,0.8122558685140322,0.7,0.7561279342570161
170,2024-05-16 17:46:11.899435,ldousdt,0.716637737820394,0.6329404060248854,0.5254402695091084,0.6560968127255993,0.5354340684116724,0.4553525419237055,0.5869836394025608,0.7631911514642515,0.7,0.7315955757321257
18,2024-05-16 17:46:11.899435,alpineusdt,0.5014638846681244,0.7752155604571886,0.38735357878053667,0.4508875463600103,0.49699247504646793,0.5232000618668317,0.5225188511965266,0.714648455805111,0.7,0.7073242279025556
56,2024-05-16 17:46:11.899435,bonkusdt,0.4910954510999491,0.6329404060248854,0.53611002275999,0.4249596951487616,0.5135539634605336,0.6679666288196674,0.5444376945522978,0.7503930656050722,0.6,0.6751965328025361
11,2024-05-16 17:46:11.899435,aiusdt,0.5790915881429524,0.38848693654895206,0.48926799635516866,0.6935536229903125,0.5210544546382068,0.6329404060248854,0.550732500783413,0.7466883667922004,0.6,0.6733441833961002
3,2024-05-16 17:46:11.899435,aceusdt,0.49891054906456844,0.4714327523413111,0.3672789659276976,0.3525549442198377,0.4677634763004576,0.8733762566361686,0.5052194907483402,0.7306037742220459,0.6,0.665301887111023
198,2024-05-16 17:46:11.899435,mtlusdt,0.5927713458072673,0.5058885108610311,0.3501684721568059,0.6329404060248854,0.5241879384542829,0.4224806806650535,0.5047395589948876,0.5308634040999449,0.7,0.6154317020499724
278,2024-05-16 17:46:11.899435,tfuelusdt,0.5187033757312295,0.5867863570328932,0.5765101204915098,0.5,0.5629663302257493,0.4695146720717627,0.5357468092588574,0.5778344018976527,0.6,0.5889172009488264
178,2024-05-16 17:46:11.899435,lskusdt,0.5603471795921151,0.6014045068669719,0.46787266091868945,0.6679666288196674,0.5498957998055797,0.41745797142529345,0.5441574579047195,0.6773915827579505,0.5,0.5886957913789752
