,last_calculation,market,last_slope,last_slope_adi,aroon_up,aroon_down,aroon_diff,macd_diff,macd_line,macd_signal,stochastic,stochastic_signal,delta_stochastic,rsi_val,coef_corr,last_slope_btc
0,3/8/2024,1INCHUSDT,3.10681058,0.306093096,96,0,96,2.591267709,11.604379,9.013111288,86.25254582,91.95238054,-5.699834714,70.73519576,0.448768282,1.150705268
1,3/8/2024,AAVEUSDT,2.730850403,0.597511878,100,0,100,3.250810624,10.30634415,7.055533522,82.4982683,93.66238184,-11.16411354,70.32474328,0.857666049,1.150705268
2,3/8/2024,ACAUSDT,2.473462316,0.455136793,80,36,44,1.352612658,7.175834126,5.823221468,59.19854281,58.54563299,0.652909815,62.49273142,0.652706587,1.150705268
3,3/8/2024,ACEUSDT,1.888034023,101.5303326,84,0,84,0.845454217,10.50940843,9.663954211,70.79439761,68.67142882,2.122968793,60.79586487,0.499572135,1.76432196
4,3/8/2024,ACHUSDT,1.486491058,-0.241926143,96,0,96,1.435127322,9.022756948,7.587629626,80.5907173,76.03010887,4.560608428,71.30679967,0.018786775,1.150705268
5,3/8/2024,ACMUSDT,1.542145814,0.554094779,76,0,76,0.927671028,8.358656404,7.430985376,46.46074646,46.54117086,-0.0804244,69.1110007,-0.051980403,1.150705268
6,3/8/2024,ADAUSDT,2.678658047,0.203253889,84,0,84,1.225476756,9.121774327,7.896297571,75.84097859,74.65875927,1.182219322,65.99293075,0.88263345,1.150705268
7,3/8/2024,ADXUSDT,1.80819831,0.697042938,44,0,44,1.148735101,10.17894884,9.030213739,80.66037736,55.20727082,25.45310654,65.04846832,0.686291293,1.150705268
8,3/8/2024,AERGOUSDT,1.331643325,0.930184667,84,4,80,0.619798329,7.339890018,6.720091688,48.77250409,47.46317512,1.309328969,64.5811025,0.756092716,1.28335639
9,3/8/2024,AGIXUSDT,3.113935627,0.233507102,96,0,96,2.914708565,17.04060982,14.12590125,83.11289346,88.56875184,-5.455858376,74.88596891,0.644345596,1.150705268
10,3/8/2024,AGLDUSDT,0.985165967,0.341326708,88,4,84,0.095982127,5.790475827,5.6944937,55.78231293,54.30839002,1.473922902,57.46534012,0.930031809,1.150705268
11,3/8/2024,AIUSDT,1.960568617,-74.92743989,96,88,8,1.598317775,11.47790308,9.8795853,73.93075356,78.52083038,-4.590076812,64.45092469,0.846149894,1.233423408
12,3/8/2024,AKROUSDT,1.64125435,-0.171761754,88,0,88,1.213127438,4.285370132,3.072242694,53.54884048,55.29432266,-1.745482181,80.7455248,-0.110399018,1.150705268
13,3/8/2024,ALCXUSDT,1.294070769,0.433337413,44,0,44,0.545461322,7.414910868,6.869449547,80.65789474,63.14675243,17.51114231,63.58549588,0.781888049,1.150705268
14,3/8/2024,ALGOUSDT,4.376526642,0.915749521,96,4,92,2.978377244,11.40812666,8.429749414,90.11627907,92.69342799,-2.577148917,73.15797626,0.533483909,1.150705268
15,3/8/2024,ALICEUSDT,0.427752507,0.447786667,64,0,64,1.281485655,13.92696977,12.64548412,83.02808303,79.77410349,3.253979541,72.33344773,0.416038915,1.150705268
16,3/8/2024,ALPACAUSDT,0.881480822,0.805010327,88,4,84,0.837699636,5.399681243,4.561981608,84.30493274,80.20060084,4.104331891,63.42012645,0.029594883,1.150705268
17,3/8/2024,ALPHAUSDT,2.569244283,0.475108167,88,0,88,0.885090236,14.34458449,13.45949425,84.5045045,82.084794,2.419710509,69.63969341,0.532064375,1.150705268
18,3/8/2024,ALPINEUSDT,0.649964097,0.363716978,76,0,76,0.404675961,3.780393048,3.375717087,72.39915074,70.04841572,2.350735028,68.95844534,-0.029320348,1.150705268
19,3/8/2024,ALTUSDT,0.083837681,168.0414621,60,0,60,-0.579667083,12.22940518,12.80907227,68.43373494,61.96144578,6.472289157,62.64213538,0.754352212,4.341912361
20,3/8/2024,AMPUSDT,0.29332108,0.589759555,40,4,36,-0.189678011,7.96066452,8.150342531,77.88778878,60.59033186,17.29745692,62.17780764,0.607601969,1.150705268
21,3/8/2024,ANKRUSDT,3.805269662,-0.391033593,96,4,92,4.007599623,15.13013104,11.12253141,76.96078431,79.95896833,-2.998184017,81.28321113,0.425600165,1.150705268
22,3/8/2024,APEUSDT,0.889848918,0.513059646,76,0,76,0.384379231,4.945259172,4.560879941,66.89734717,67.10601486,-0.208667688,63.41837498,-0.314746329,1.150705268
