,market,start,base_price,end,last_price,increase,pump_length,date_listing,pump_to_listing
231,CELRUSDT,2021-08-29,0.045134,2021-09-24,0.17854,2.955776133291975,26 days,2019-03-25,888 days
232,CELRUSDT,2022-03-13,0.034798,2022-03-31,0.07685,1.208460256336571,18 days,2019-03-25,1084 days
233,CFXBTC,2023-01-21,1.22e-06,2023-02-21,1.346e-05,10.032786885245901,31 days,2021-03-29,663 days
234,CFXBTC,2023-03-11,8.002e-06,2023-03-19,1.629e-05,1.0357410647338166,8 days,2021-03-29,712 days
235,CFXUSDT,2023-01-12,0.02564,2023-02-21,0.329,11.831513260530421,40 days,2021-03-29,654 days
236,CFXUSDT,2023-03-11,0.16276,2023-03-19,0.4551,1.7961415581223892,8 days,2021-03-29,712 days
237,CHRBTC,2021-02-23,1.0579999999999999e-06,2021-03-12,9.95e-06,8.40453686200378,17 days,2020-05-07,292 days
238,CHRBTC,2021-07-02,4.07e-06,2021-07-25,1.121e-05,1.754299754299754,23 days,2020-05-07,421 days
239,CHRBTC,2021-10-19,5.458e-06,2021-11-20,2.36e-05,3.3239281788200805,32 days,2020-05-07,530 days
240,CHRUSDT,2020-07-09,0.0327,2020-08-10,0.0812,1.4831804281345564,32 days,2020-05-07,63 days
241,CHRUSDT,2021-01-26,0.033134,2021-02-13,0.06693,1.0199794772740993,18 days,2020-05-07,264 days
242,CHRUSDT,2021-02-26,0.050252,2021-03-12,0.57081,10.358950887526866,14 days,2020-05-07,295 days
243,CHRUSDT,2021-07-02,0.13823,2021-07-25,0.39735,1.8745568979237506,23 days,2020-05-07,421 days
244,CHRUSDT,2021-10-27,0.3408,2021-11-20,1.4112,3.1408450704225355,24 days,2020-05-07,538 days
245,CHZBTC,2019-10-02,5.3e-07,2019-11-04,1.83e-06,2.452830188679245,33 days,2019-09-06,26 days
246,CHZBTC,2020-01-30,7.74e-07,2020-02-13,1.63e-06,1.1059431524547805,14 days,2019-09-06,146 days
247,CHZBTC,2021-02-08,5.839999999999999e-07,2021-03-12,1.272e-05,20.780821917808222,32 days,2019-09-06,521 days
248,CHZUSDT,2019-10-04,0.0043712,2019-11-04,0.017132,2.919289897510981,31 days,2019-09-06,28 days
249,CHZUSDT,2020-01-27,0.0069228,2020-02-13,0.016657,1.4061073554053276,17 days,2019-09-06,143 days
250,CHZUSDT,2020-12-10,0.0121994,2020-12-29,0.028394,1.3274915159761957,19 days,2019-09-06,461 days
251,CHZUSDT,2021-01-29,0.021393199999999998,2021-03-12,0.72771,33.01594899313801,42 days,2019-09-06,511 days
252,CKBUSDT,2021-01-27,0.005247,2021-03-31,0.041963,6.997522393748809,63 days,2021-01-26,1 days
253,CKBUSDT,2024-01-23,0.0031364,2024-02-15,0.013474,3.2960081622242057,23 days,2021-01-26,1092 days
254,COMPBTC,2021-01-15,0.0057355999999999996,2021-02-05,0.013874,1.4189274007950348,21 days,2020-06-25,204 days
255,COMPBTC,2021-06-26,0.0070218,2021-07-05,0.014613,1.0810903187216951,9 days,2020-06-25,366 days
256,COMPBTC,2023-06-22,0.0009944,2023-07-16,0.002564,1.5784392598551886,24 days,2020-06-25,1092 days
257,COMPUSDT,2021-01-21,202.618,2021-02-12,536.53,1.6479878391850673,22 days,2020-06-25,210 days
