,market,start,base_price,end,last_price,increase,pump_length,date_listing,pump_to_listing
58,ANTUSDT,2021-12-05,4.1008000000000004,2021-12-31,13.541,2.302038626609442,26 days,2020-08-13,479 days
59,APEBTC,2022-04-06,0.000255886,2022-04-28,0.00059651,1.3311552800856632,22 days,2022-03-17,20 days
60,APEUSDT,2022-04-06,10.84398,2022-04-28,23.7068,1.1861714979186608,22 days,2022-03-17,20 days
61,API3BTC,2022-02-04,8.6108e-05,2022-02-19,0.00018595,1.1594973753890463,15 days,2022-01-21,14 days
62,API3BTC,2022-06-12,4.6572e-05,2022-07-05,0.00010584,1.2726101520226747,23 days,2022-01-21,142 days
63,API3BTC,2024-01-09,3.4694e-05,2024-02-14,8.934e-05,1.575085029111662,36 days,2022-01-21,718 days
64,API3USDT,2022-02-04,3.6042,2022-03-01,8.089,1.244326064036402,25 days,2022-01-21,14 days
65,API3USDT,2024-01-09,1.559,2024-02-14,4.622,1.964720974983964,36 days,2022-01-21,718 days
66,APTBTC,2022-12-29,0.000199692,2023-01-25,0.00079677,2.9899945916711737,27 days,2022-10-19,71 days
67,APTUSDT,2022-12-29,3.30886,2023-01-25,18.38,4.554783218389415,27 days,2022-10-19,71 days
68,ARBBTC,2023-12-20,2.5569999999999997e-05,2024-01-12,5.147e-05,1.0129057489245212,23 days,2023-03-23,272 days
69,ARBUSDT,2023-12-19,1.1026,2024-01-11,2.2587,1.0485216760384546,23 days,2023-03-23,271 days
70,ARPABTC,2020-01-30,1.01e-06,2020-02-17,2.08e-06,1.0594059405940592,18 days,2019-11-06,85 days
71,ARPABTC,2020-06-27,1.348e-06,2020-07-10,3.93e-06,1.9154302670623142,13 days,2019-11-06,234 days
72,ARPABTC,2020-07-27,1.91e-06,2020-08-16,4.24e-06,1.2198952879581153,20 days,2019-11-06,264 days
73,ARPABTC,2021-02-23,6.76e-07,2021-04-09,2.27e-06,2.3579881656804735,45 days,2019-11-06,475 days
74,ARPABTC,2021-10-06,1.3059999999999999e-06,2021-11-03,3.34e-06,1.5574272588055134,28 days,2019-11-06,700 days
75,ARPABTC,2023-04-30,1.358e-06,2023-05-25,4.31e-06,2.1737849779086895,25 days,2019-11-06,1271 days
76,ARPAUSDT,2020-01-25,0.008882,2020-02-17,0.02017,1.2708849358252647,23 days,2019-11-06,80 days
77,ARPAUSDT,2020-06-27,0.012318,2020-07-10,0.03642,1.9566488066244518,13 days,2019-11-06,234 days
78,ARPAUSDT,2020-07-27,0.021574,2020-08-16,0.0505,1.3407805692036714,20 days,2019-11-06,264 days
79,ARPAUSDT,2021-02-23,0.03223,2021-04-09,0.13219,3.1014582686937633,45 days,2019-11-06,475 days
80,ARPAUSDT,2021-08-08,0.043206,2021-09-03,0.09388,1.1728463639309357,26 days,2019-11-06,641 days
81,ARPAUSDT,2021-09-29,0.069892,2021-11-12,0.21153,2.0265266411034166,44 days,2019-11-06,693 days
82,ARPAUSDT,2023-05-08,0.041392,2023-05-25,0.11423,1.759712021646695,17 days,2019-11-06,1279 days
83,ARBTC,2021-08-05,0.00028554,2021-09-09,0.0013986,3.8980878335784834,35 days,2021-05-14,83 days
