,last_calculation,market,prob_last_slope,prob_macd,prob_macd_diff,prob_stochastic,prob_rsi,prob_corr_btc,avg,logreg_proba,rf_proba,logreg_rf_combine
268,2024-03-14 11:27:21.599051,spellusdt,0.6125018003744779,1.0,0.6457528260319982,0.6329404060248854,0.35330740188602733,0.8380057803468209,0.6804180357773683,0.9877990150030053,1.0,0.9938995075015027
302,2024-03-14 11:27:21.599051,vetusdt,0.5778482634386477,0.9324088031353632,0.6265520190879216,0.6202913019449843,0.5354054292496672,0.8009352432816385,0.6822401766897038,0.9821602575618299,1.0,0.991080128780915
3,2024-03-14 11:27:21.599051,aceusdt,0.5347904274450132,0.7418636782315013,0.5852058665231432,0.7070965719063546,0.5481141214049673,0.8380057803468208,0.6591794076429668,0.9764149373445573,1.0,0.9882074686722786
275,2024-03-14 11:27:21.599051,stxusdt,0.5163139510992397,0.9234916734916735,0.572861981371719,0.5797405713428808,0.4373716970342731,0.8009352432816385,0.6384525196035707,0.9736756283129235,1.0,0.9868378141564618
74,2024-03-14 11:27:21.599051,cotiusdt,0.5052805605439775,0.8733762566361686,0.6869748432462621,0.5867863570328932,0.506726835251051,0.6830871439677716,0.640371999446354,0.9520028943562614,1.0,0.9760014471781306
171,2024-03-14 11:27:21.599051,ldousdt,0.5238137089036832,0.7362737080313231,0.5338389064890706,0.6067392909896602,0.5495130776203241,0.7752155604571888,0.620899042081875,0.9480013122906258,1.0,0.974000656145313
23,2024-03-14 11:27:21.599051,api3usdt,0.5232000618668317,0.6416636954891378,0.5278244981074636,0.5753443190735178,0.5619955358722354,0.8380057803468209,0.6113389817926679,0.9375557559607147,1.0,0.9687778779803573
218,2024-03-14 11:27:21.599051,ordiusdt,0.5178834561286002,0.5639404842944666,0.46130880388072737,0.6093947036569988,0.5022226001351039,0.8117073990089864,0.577742907850814,0.906958844389826,1.0,0.953479422194913
257,2024-03-14 11:27:21.599051,sandusdt,0.6679666288196674,1.0,0.6067392909896602,0.4431622788582783,0.39269993905329453,1.0,0.6850946896201501,0.9886909867725686,0.9,0.9443454933862843
231,2024-03-14 11:27:21.599051,portousdt,0.6241291524371313,0.8380057803468208,0.559338505467867,0.6329404060248854,0.5018395380221867,0.8733762566361686,0.6716049398225099,0.9818024959909818,0.9,0.9409012479954909
157,2024-03-14 11:27:21.599051,jasmyusdt,0.6234059421906285,1.0,0.7135271736044069,0.5639404842944666,0.4995770875428786,0.756325536909834,0.6927960374237024,0.9800529241742868,0.9,0.9400264620871435
308,2024-03-14 11:27:21.599051,vthousdt,0.5165012960344711,0.8258437876257428,0.6797213248060483,0.6209444265981369,0.5462613940604436,0.8578583655614024,0.6745217657810408,0.9796337876036199,0.9,0.9398168938018099
235,2024-03-14 11:27:21.599051,pyrusdt,0.5858962822637935,1.0,0.47309854180051336,0.4249596951487616,0.48384435201265746,0.8578583655614024,0.6376095394645214,0.9728091922758988,0.9,0.9364045961379495
