,last_calculation,market,prob_last_slope,prob_macd,prob_macd_diff,prob_stochastic,prob_rsi,prob_corr_btc,avg,logreg_proba,rf_proba,logreg_rf_combine
267,2024-03-11 18:49:49.663932,spellusdt,0.7596913072992961,1.0,0.6423719576227253,0.5875379939209726,0.4927238618951469,0.6329404060248854,0.6858775877938377,0.9676089577858723,1.0,0.9838044788929361
35,2024-03-11 18:49:49.663932,audiousdt,0.6329404060248854,0.8380057803468208,0.6059791385632588,0.665511384502387,0.5608251575860278,0.6968904912122579,0.6666920597059396,0.9652932265029447,1.0,0.9826466132514724
193,2024-03-11 18:49:49.663932,mdxusdt,0.521317001910327,0.6329404060248854,0.4326867865032944,0.48926799635516866,0.4579409225736521,0.8733762566361686,0.5679215616672494,0.9092853950143202,1.0,0.95464269750716
231,2024-03-11 18:49:49.663932,portousdt,0.5921841193252533,1.0,0.6014045068669719,0.521317001910327,0.5556513740370242,0.7211789578410646,0.6652893266634402,0.9698011961913489,0.9,0.9349005980956744
4,2024-03-11 18:49:49.663932,achusdt,0.54243730707416,1.0,0.561585822354821,0.5852058665231432,0.38848693654895206,0.6968904912122579,0.629101070618889,0.9669955451634075,0.9,0.9334977725817037
206,2024-03-11 18:49:49.663932,ntrnusdt,0.6118843418306279,0.5753443190735178,0.6255336917375646,0.5391910739191074,0.5028217063942637,0.7339693388390527,0.5981240786323557,0.8632237732312016,1.0,0.9316118866156008
219,2024-03-11 18:49:49.663932,ornusdt,0.5858962822637935,0.8733762566361686,0.5921841193252533,0.6329404060248854,0.5004642872257531,0.6968904912122579,0.6469586404480187,0.9618253449311771,0.9,0.9309126724655885
222,2024-03-11 18:49:49.663932,pendleusdt,0.5014638846681244,0.7418636782315013,0.5980186045857562,0.6329404060248854,0.5216406997766669,0.7418636782315013,0.622965158586406,0.9466752619792305,0.9,0.9233376309896153
258,2024-03-11 18:49:49.663932,scrtusdt,0.516975469146992,0.6329404060248854,0.5241879384542829,0.4249596951487616,0.4990117973629424,0.7752155604571888,0.5622151444325089,0.8383308677456708,1.0,0.9191654338728354
242,2024-03-11 18:49:49.663932,rdntusdt,0.4536248104556285,0.8117073990089864,0.5331369580027084,0.5347904274450132,0.4995770875428786,0.7211789578410646,0.59233594004938,0.9262223541253725,0.9,0.9131111770626863
307,2024-03-11 18:49:49.664927,vthousdt,0.4877717761955424,1.0,0.5347904274450132,0.6499819863095954,0.5258173005588802,0.46299401197604795,0.6102259170808465,0.9256893760900134,0.9,0.9128446880450067
72,2024-03-11 18:49:49.663932,compusdt,0.4973315886971096,0.7752155604571888,0.6195629631026226,0.5896528582758831,0.5040816231495323,0.6329404060248854,0.603130833284537,0.9064239634341955,0.9,0.9032119817170978
29,2024-03-11 18:49:49.663932,asrusdt,0.5896528582758831,0.6329404060248854,0.3454911586673657,0.5999099979827134,0.4541575864886952,0.7752155604571888,0.5662279279827886,0.9039503211424532,0.9,0.9019751605712266
298,2024-03-11 18:49:49.664927,ustcusdt,0.5252087745235146,0.7070965719063546,0.6457528260319982,0.5246213084999916,0.5208123379197247,0.7211789578410646,0.6074451294537746,0.9027285855797723,0.9,0.9013642927898862
283,2024-03-11 18:49:49.664927,tiausdt,0.5235913601868067,0.5112980098064668,0.5666029044248637,0.756325536909834,0.4762216256626342,0.7070965719063546,0.5901893348161601,0.9014313316610627,0.9,0.9007156658305313
55,2024-03-11 18:49:49.663932,bondusdt,0.5628447975541148,0.6846826198835283,0.47143275234131116,0.5639404842944666,0.5434734452956732,0.7211789578410646,0.5912588428683598,0.9004660541476528,0.9,0.9002330270738264
218,2024-03-11 18:49:49.663932,ordiusdt,0.5060791049922735,0.7752155604571886,0.527613501956146,0.43939807237679585,0.5430463211356362,0.7304362761937478,0.586964806185298,0.8911113564272068,0.9,0.8955556782136034
31,2024-03-11 18:49:49.663932,atausdt,0.4315098574461632,0.7752155604571888,0.6329404060248854,0.5896528582758831,0.5490692500542519,0.8733762566361686,0.6419606981490901,0.9709645752136042,0.8,0.8854822876068021
20,2024-03-11 18:49:49.663932,ampusdt,0.41852470651712037,0.8380057803468208,0.5287172343928074,0.46299401197604795,0.5296215114251663,0.6329404060248854,0.568467275113808,0.8678275468196984,0.9,0.8839137734098492
64,2024-03-11 18:49:49.663932,cfxusdt,0.5035558913173731,0.8960689783052105,0.3136852820335032,0.5347904274450133,0.45961298560014596,0.7752155604571888,0.5804881875264057,0.950959505920244,0.8,0.875479752960122
260,2024-03-11 18:49:49.663932,seiusdt,0.4477751550427375,0.7552429873248985,0.5267124600256315,0.5639404842944666,0.5323623874576258,0.7510963086316959,0.5961882971295093,0.9306075053457531,0.8,0.8653037526728766
321,2024-03-11 18:49:49.664927,xrpusdt,0.5797405713428807,0.7456377209502847,0.5328687557698225,0.513090900316112,0.5490629730697114,0.7752155604571888,0.6159360803176667,0.9300529028045154,0.8,0.8650264514022576
129,2024-03-11 18:49:49.663932,gftusdt,0.5187033757312296,0.7752155604571888,0.3701015179831261,0.5232000618668317,0.49269157945111425,0.7752155604571888,0.5758546093244467,0.9248447511975967,0.8,0.8624223755987983
304,2024-03-11 18:49:49.664927,vidtusdt,0.2770333213901827,1.0,0.37584070561825556,0.40140615265952717,0.49467634277074346,0.5347904274450132,0.5139578249806204,0.8194954956331,0.9,0.8597477478165501
153,2024-03-11 18:49:49.663932,iotausdt,0.6169916246701344,0.8380057803468208,0.3901246917805214,0.5257320721646369,0.36050376838941117,0.5347904274450132,0.5443580607994231,0.8187968271808851,0.9,0.8593984135904426
237,2024-03-11 18:49:49.663932,qntusdt,0.4249596951487616,0.5797405713428807,0.5241879384542829,0.6698199837136373,0.530716264302044,0.7752155604571888,0.5841066689031326,0.9184776523217573,0.8,0.8592388261608787
128,2024-03-11 18:49:49.663932,gasusdt,0.4417068997843817,0.5496127528850374,0.47047995427804934,0.5519072635906807,0.5655544594495233,0.6968904912122579,0.5460253035333217,0.8019793826771554,0.9,0.8509896913385777
81,2024-03-11 18:49:49.663932,cvxusdt,0.4593663286060767,0.7211789578410646,0.5639404842944666,0.4136332295109251,0.5390552859340075,0.7752155604571888,0.5787316411072883,0.8799465711270984,0.8,0.8399732855635492
120,2024-03-11 18:49:49.663932,fluxusdt,0.6329404060248854,1.0,0.43429043486075536,0.2564340673918811,0.4081934325836765,0.6968904912122579,0.5714581386789094,0.877365072547295,0.8,0.8386825362736475
165,2024-03-11 18:49:49.663932,klayusdt,0.6329404060248854,0.46299401197604795,0.5257320721646369,0.5284864034995478,0.5441664060056303,0.7211789578410646,0.5692497095853022,0.7753804388330898,0.9,0.837690219416545
202,2024-03-11 18:49:49.663932,neousdt,0.49630913409076327,1.0,0.3853860339929223,0.5347904274450133,0.4444752793977141,0.6968904912122579,0.5929752276897785,0.9540469905624976,0.7,0.8270234952812487
156,2024-03-11 18:49:49.663932,irisusdt,0.46299401197604795,0.8380057803468208,0.5339864933727412,0.46299401197604795,0.45961298560014596,0.8380057803468208,0.5992665106031041,0.9479927533902931,0.7,0.8239963766951466
158,2024-03-11 18:49:49.663932,joeusdt,0.49922172198373643,0.7418636782315013,0.5286421922378753,0.484683856408542,0.5529799315157558,0.6329404060248854,0.5733886310670494,0.8404038245990277,0.8,0.8202019122995139
16,2024-03-11 18:49:49.663932,alpacausdt,0.6329404060248853,0.46299401197604795,0.36332062581465,0.5797405713428807,0.508948522404509,0.7752155604571888,0.5538599496700269,0.8260671773903652,0.8,0.8130335886951826
168,2024-03-11 18:49:49.663932,kp3rusdt,0.5797405713428807,0.4249596951487616,0.35294290880605017,0.5347904274450132,0.5075731919801713,0.7211789578410646,0.5201976254273236,0.7075229237572354,0.9,0.8037614618786177
