,Unnamed: 0,market,last_slope,last_slope_adi,aroon_up,aroon_down,aroon_diff,macd_diff,macd_line,macd_signal,stochastic,stochastic_signal,delta_stochastic,rsi_val,coef_corr,last_slope_btc,prob_last_slope,prob_macd,prob_macd_diff,prob_stochastic,prob_rsi,prob_corr_btc,prediction,probability
0,2,1INCHUSDT,3.1068105798045558,0.306093095575236,96.0,0.0,96.0,2.5912677094165257,11.604378997570208,9.013111288153684,86.25254582484723,91.95238053914828,-5.699834714301048,70.73519575993595,0.4487682824318522,1.150705267762699,0.5639404842944666,0.0,0.2232359394849289,0.3649924471299093,0.220070333451399,0.5797405713428807,0.0,0.0
1,3,AAVEUSDT,2.730850403029656,0.5975118777701459,100.0,0.0,100.0,3.2508106241693984,10.306344145839873,7.055533521670474,82.49826829831446,93.66238183849502,-11.164113540180566,70.32474327900134,0.8576660485649735,1.150705267762699,0.6329404060248854,0.0,0.4629940119760479,0.0,0.284655409385431,0.4814617136350698,0.0,0.1
2,5,ACAUSDT,2.4734623158030478,0.4551367934653957,80.0,36.0,44.0,1.3526126579518856,7.175834125821311,5.823221467869425,59.19854280510017,58.54563298982789,0.652909815272281,62.49273142407905,0.6527065872898933,1.150705267762699,0.3409371509201011,0.4629940119760479,0.2307026704460689,0.6329404060248854,0.4270231871125915,0.5085057874430025,0.0,0.3
3,7,ACEUSDT,1.888034022576572,101.53033264363856,84.0,0.0,84.0,0.8454542171127226,10.50940842850764,9.663954211394918,70.79439761266852,68.67142881923127,2.122968793437252,60.79586486549699,0.4995721348660479,1.764321960315178,0.0645236664663862,1.0,0.3106696388017357,0.3926999390532945,0.4629940119760479,0.7418636782315013,1.0,0.6
4,9,ACHUSDT,1.4864910582499038,-0.2419261431647599,96.0,0.0,96.0,1.4351273216027405,9.022756947679165,7.587629626076422,80.59071729957807,76.0301088711778,4.560608428400272,71.30679966577618,0.0187867749962074,1.150705267762699,0.492372569552543,0.4629940119760479,0.2014975937733456,0.2096642984977493,0.2096642984977493,0.1976482617586912,0.0,0.2
5,10,ACMUSDT,1.542145813632141,0.5540947790918483,76.0,0.0,76.0,0.9276710279613952,8.358656403506998,7.430985375545603,46.460746460746456,46.54117086080184,-0.0804244000553779,69.11100069790336,-0.0519804030876994,1.150705267762699,0.6105303054230757,0.3012311048776687,0.3758407056182555,0.5563590573844217,0.3561241519821401,0.5347904274450132,1.0,0.6
6,12,ADAUSDT,2.678658047383362,0.2032538889294607,84.0,0.0,84.0,1.2254767563505586,9.121774326974348,7.896297570623788,75.84097859327217,74.65875927089995,1.1822193223722195,65.99293075220032,0.8826334502405733,1.150705267762699,0.4963091340907632,0.7211789578410646,0.3944613833337334,0.6513309660195432,0.4174579714252934,0.5896528582758831,1.0,0.7
7,14,ADXUSDT,1.8081983100795889,0.6970429379950785,44.0,0.0,44.0,1.1487351010641582,10.178948839984445,9.030213738920285,80.66037735849059,55.20727082267626,25.453106535814328,65.04846832410394,0.6862912934220943,1.150705267762699,0.3649924471299094,0.7211789578410646,0.5708551178001882,0.5,0.4230810184089725,0.484683856408542,0.0,0.4
8,15,AERGOUSDT,1.331643325463739,0.9301846669096494,84.0,4.0,80.0,0.6197983292436966,7.33989001751663,6.720091688272934,48.77250409165303,47.46317512274958,1.3093289689034506,64.5811025008329,0.7560927161836666,1.2833563897442193,0.5232000618668317,0.8733762566361686,0.4004769934955432,0.6662906384645515,0.3892238265010008,0.6125018003744779,1.0,0.8
9,17,AGIXUSDT,3.113935626942728,0.2335071022188783,96.0,0.0,96.0,2.914708564585005,17.04060981699009,14.125901252405086,83.11289346246973,88.56875183839425,-5.455858375924521,74.88596890784666,0.6443455964268551,1.150705267762699,0.5639404842944666,0.0,0.0,0.4629940119760479,0.0852612310610237,0.5232000618668317,0.0,0.0
10,19,AGLDUSDT,0.9851659666535536,0.3413267078220893,88.0,4.0,84.0,0.0959821272331451,5.790475827196829,5.694493699963684,55.78231292517007,54.30839002267576,1.4739229024943086,57.46534011603603,0.930031808716216,1.150705267762699,0.6420040110879757,0.4081934325836765,0.4454067974653519,0.6329404060248853,0.5176822334713373,0.6155598559635499,0.0,0.5
11,21,AIUSDT,1.960568616510925,-74.92743989064995,96.0,88.0,8.0,1.598317775258268,11.477903075651255,9.879585300392987,73.93075356415477,78.52083037627044,-4.590076812115669,64.45092469283149,0.8461498943323779,1.233423408356781,0.1470744883207791,0.4629940119760479,0.2927087802538929,0.5257320721646369,0.3910038201688734,0.6014045068669719,0.0,0.2
12,22,AKROUSDT,1.641254349669586,-0.1717617537838736,88.0,0.0,88.0,1.2131274382071324,4.28537013183217,3.072242693625038,53.548840477863656,55.29432265922768,-1.745482181364018,80.74552480430644,-0.1103990176200558,1.150705267762699,0.54243730707416,0.4629940119760479,0.415967290725199,0.7752155604571886,0.0,0.6329404060248854,0.0,0.3
13,24,ALCXUSDT,1.2940707694447475,0.4333374133630895,44.0,0.0,44.0,0.5454613215603423,7.414910868362071,6.869449546801729,80.65789473684212,63.14675242530439,17.51114231153774,63.5854958785945,0.7818880494484264,1.150705267762699,0.572861981371719,0.6329404060248854,0.36838267584744,0.4629940119760479,0.3672132393250072,0.5519072635906807,0.0,0.5
14,26,ALGOUSDT,4.376526641588874,0.9157495211760924,96.0,4.0,92.0,2.978377244235361,11.408126657968552,8.429749413733191,90.11627906976746,92.69342798662628,-2.577148916858817,73.15797626415562,0.5334839094674084,1.150705267762699,0.0,0.0,0.0,0.5347904274450132,0.1903745773283871,0.6679666288196674,0.0,0.0
