,market,last_slope,last_slope_adi,aroon_up,aroon_down,aroon_diff,macd_diff,macd_line,macd_signal,stochastic,stochastic_signal,delta_stochastic,rsi_val,coef_corr,last_slope_btc,prob_last_slope,prob_macd,prob_macd_diff,prob_stochastic,prob_rsi,prob_corr_btc,avg prob,logreg,rf,avg,init_price,max_price,cur_price,% to max,% to last
327,LSKBTC,-1.371630929,0.039189562,0,0,0,-1.99261519,-2.985791565,-0.993176375,3.789126853,6.370126304,-2.580999451,39.46393158,-0.376503802,2.346306542,0.615559856,0.707096572,0.617821909,0.667966629,0.486371635,0.632940406,0.621292834,0.918948024,0.9,0.909474012,2.59E-05,2.61E-05,2.61E-05,0.85%,0.85%
136,COTIUSDT,0.434062345,0.397902691,68,0,68,2.711738725,12.63405502,9.922316295,65.62898234,67.69221433,-2.063231992,66.39922546,0.131491704,2.346306542,0.604415975,0.5,0.683087144,0.579740571,0.424959695,0.873376257,0.61092994,0.912678237,0.9,0.906339118,0.09123,0.274,0.20738,200.34%,127.32%
383,OGNBTC,-1.174460101,-0.330900871,24,96,-72,-0.634877531,-3.484431791,-2.84955426,12.28070175,12.56185335,-0.281151597,32.66141442,-0.241805683,2.346306542,0.55558639,0.491694315,0.539040714,0.637717556,0.515038391,0.83800578,0.596180524,0.912532172,0.9,0.906266086,3.26E-06,3.35E-06,3.27E-06,2.76%,0.31%
46,ARBBTC,-0.610652353,-0.46294382,24,96,-72,-1.116722236,-2.69490296,-1.578180724,20.87912088,13.72602553,7.153095352,40.42488387,-0.131838717,3.361036846,0.491095451,0.557542544,0.6125018,0.41363323,0.471229466,1,0.591000415,0.905808026,0.9,0.902904013,3.80E-05,3.89E-05,3.89E-05,2.29%,2.29%
387,OMGUSDT,0.357769194,0.794815313,92,52,40,0.531443286,0.031171512,-0.500271774,71.92982456,79.8245614,-7.894736842,53.92137654,-0.234639366,2.346306542,0.577848263,0.396324759,0.401159104,0.534790427,0.546617958,0.83800578,0.549124382,0.804866945,1,0.902433473,0.69,1.326,1.184,92.17%,71.59%
406,PENDLEBTC,-1.804659857,-1.039585272,52,0,52,-3.63004778,3.559792572,7.189840353,11.75587794,8.184048805,3.571829134,48.68259055,0.661198423,3.063709371,0.548978771,0.83800578,0.873376257,0.547860686,0.512684996,0.873376257,0.699047124,0.976216579,0.8,0.88810829,5.74E-05,5.89E-05,5.86E-05,2.63%,2.20%
189,ENSUSDT,1.368228765,0.368093557,60,0,60,0.236367563,7.084539493,6.84817193,59.14786967,69.92481203,-10.77694236,55.16529403,0.430982253,2.346306542,0.554638356,0.77521556,0.466643385,0.632940406,0.544166406,0.534790427,0.584732424,0.871864992,0.9,0.885932496,22.04,30.38,25.71,37.84%,16.65%
37,AMPUSDT,0.141785974,0.403455095,20,8,12,0.206799315,1.006329057,0.799529743,53.87523629,53.05608066,0.81915564,56.37072067,0.14948061,2.346306542,0.440261049,0.444819082,0.44185057,0.614154465,0.523689981,0.83800578,0.550463488,0.865028925,0.9,0.882514462,0.003713,0.005899,0.005206,58.87%,40.21%
274,ILVBTC,0.726925835,-0.385159138,84,48,36,0.730857676,0.107196281,-0.623661395,56.91056911,55.01355014,1.89701897,50.36412302,0.055048358,2.346306542,0.54002427,0.389134743,0.371939038,0.709541597,0.531945986,0.632940406,0.52925434,0.759692241,1,0.87984612,0.001832,0.001875,0.001871,2.35%,2.13%
144,CTSIUSDT,1.751041453,-0.54403457,84,8,76,0.622136929,10.30398195,9.681845018,58.09698079,66.02353086,-7.926550077,59.33357304,0.61833512,2.346306542,0.449581352,1,0.398325594,0.556359057,0.492691579,0.721178958,0.603022757,0.957166686,0.8,0.878583343,0.2886,0.4448,0.3743,54.12%,29.70%
97,BNBBTC,-0.501491019,-0.05588673,0,88,-88,0.044963977,-1.065044154,-1.110008131,59.7826087,59.5410628,0.241545894,48.67818464,-0.694114065,2.346306542,0.455689299,0.430619665,0.467203595,0.563940484,0.512684996,0.873376257,0.550585716,0.853092877,0.9,0.876546438,0.0068,0.006888,0.006875,1.29%,1.10%
231,FXSUSDT,-1.12215662,-0.330473162,52,100,-48,-1.687405624,-2.458118261,-0.770712638,0.731707317,6.35501355,-5.623306233,39.04546271,0.392502137,2.346306542,0.537665452,0.508505787,0.632940406,0.704251363,0.504274238,0.873376257,0.626835584,0.950442501,0.8,0.875221251,8.511,9.62,8.61,13.03%,1.16%
494,SSVUSDT,0.166059321,-0.45187988,92,8,84,0.522516791,0.885311451,0.36279466,47.54098361,63.1147541,-15.57377049,50.31059252,0.189681851,2.346408114,0.460470792,0.419081915,0.431244985,0.301231105,0.530334136,1,0.523727155,0.743004825,1,0.871502413,30.97,37.83,36.62,22.15%,18.24%
302,KLAYUSDT,1.493848195,-0.57054607,88,0,88,1.027722128,3.082216228,2.0544941,46.87022901,55.67430025,-8.804071247,53.84455369,0.22338411,2.346306542,0.47723158,0.428479596,0.606739291,0.563940484,0.550306042,1,0.604449499,0.927693798,0.8,0.863846899,0.2224,0.3209,0.2976,44.29%,33.81%
425,PORTOBTC,-0.793936593,-0.78408242,8,88,-80,-0.180425526,-0.851518854,-0.671093328,38.24948312,40.63938025,-2.389897134,51.46717023,-0.72895132,2.346306542,0.491529617,0.417489244,0.514526906,0.553877012,0.541246661,1,0.586444907,0.91563567,0.8,0.857817835,5.27E-05,5.33E-05,5.31E-05,1.23%,0.85%
364,MTLBTC,-0.580999736,0.402821145,4,84,-80,0.186337183,-3.14142657,-3.327763753,49.1646778,45.65937932,3.505298483,40.27036097,-0.677374804,2.346306542,0.493577153,0.45004698,0.425613219,0.648817382,0.471485152,0.721178958,0.535119807,0.811291465,0.9,0.855645733,3.05E-05,3.09E-05,3.09E-05,1.28%,1.28%
175,DUSKUSDT,-0.251553452,-0.514724833,88,0,88,-1.167942306,10.16699466,11.33493696,37.91574279,53.56977327,-15.65403048,56.84143589,0.554297513,2.346306542,0.498910549,0.462994012,0.578172941,0.462994012,0.526006213,1,0.588179621,0.897651808,0.8,0.848825904,0.294,0.3561,0.3324,21.12%,13.06%
68,AVABTC,-0.671721346,0.258814775,0,84,-84,-0.017735036,-2.844314752,-2.826579716,31.95876289,26.26543246,5.693330422,32.8086072,-0.704957637,2.346306542,0.49498997,0.455795051,0.462120205,0.452861131,0.51936819,0.873376257,0.543085134,0.796789463,0.9,0.848394731,1.14E-05,1.16E-05,1.16E-05,1.49%,1.49%
417,PLABTC,-1.040350842,0.155417049,8,92,-84,-0.563234987,-4.820060283,-4.256825295,7.086614173,6.179440121,0.907174053,13.88274157,-0.663454559,2.346306542,0.492877001,0.582621184,0.528288709,0.646633858,0.923491673,0.632940406,0.634475472,0.893100383,0.8,0.846550192,2.93E-06,2.95E-06,2.93E-06,0.68%,0.00%
477,SCRTUSDT,1.246628363,-0.195791854,80,0,80,1.070490246,1.208401661,0.137911414,37.34586025,40.94734782,-3.601487571,53.26274795,-0.149127155,2.346306542,0.57651012,0.454852069,0.579740571,0.643205393,0.553982179,0.632940406,0.573538457,0.791020316,0.9,0.845510158,0.4214,0.7229,0.6625,71.55%,57.21%
56,ASTBTC,-0.453398603,0.204353865,60,88,-28,-0.127522165,-2.404351979,-2.276829814,15.38461538,14.52991453,0.854700855,39.53914262,-0.689301961,2.346306542,0.45463303,0.490875084,0.497393691,0.61930118,0.479797544,0.83800578,0.563334385,0.88854935,0.8,0.844274675,2.19E-06,2.25E-06,2.23E-06,2.74%,1.83%
296,KAVABTC,-0.326765095,-1.27276643,0,88,-88,-0.074099763,-2.347955592,-2.273855829,23.63636364,16.57149265,7.064870984,29.9376229,-0.764443948,2.346306542,0.517845907,0.5022226,0.47319546,0.421809597,0.508505787,1,0.570596559,0.884322786,0.8,0.842161393,1.43E-05,1.46E-05,1.46E-05,1.95%,1.88%
594,XVSBTC,1.142381587,0.483290308,16,80,-64,0.033692992,-6.325839336,-6.359532328,61.23348018,40.73385057,20.49962961,42.42758024,0.572239092,2.346306542,0.472047306,0.59645153,0.466355565,1,0.485183403,0.77521556,0.632542227,0.982096276,0.7,0.841048138,0.0002323,0.0002387,0.0002373,2.76%,2.15%
217,FLOKIUSDT,1.097782935,-0.241939398,96,52,44,1.827250777,2.654529244,0.827278467,74.22552664,83.17796867,-8.952442032,59.99717712,0.639240836,3.02126479,0.437804345,0.721178958,0.398754023,0.462994012,0.495080722,0.811707399,0.554586576,0.881458514,0.8,0.840729257,3.34E-05,0.00016914,0.00014663,406.71%,339.28%
174,DUSKBTC,-1.154109525,-0.741820491,52,0,52,-2.798121771,2.52879601,5.326917781,3.553299492,3.839005853,-0.28570636,45.40534544,-0.229493279,2.346306542,0.558406429,0.696890491,0.523200062,0.744776616,0.469155572,0.83800578,0.638405825,0.973258121,0.7,0.83662906,5.71E-06,5.81E-06,5.77E-06,1.75%,1.05%
303,KMDBTC,-0.207782866,-0.757210435,16,64,-48,0.169890963,-0.952927553,-1.122818516,21.85430464,14.79028698,7.06401766,48.66904288,-0.751602586,2.346306542,0.48246796,0.43110303,0.430277338,0.319856591,0.513429645,1,0.529522427,0.768603743,0.9,0.834301872,5.67E-06,5.70E-06,5.70E-06,0.53%,0.53%
328,LSKUSDT,-0.32673535,0.138728835,4,0,4,-1.127412006,3.34976537,4.477177376,9.120521173,19.00108578,-9.880564604,50.53555049,0.708365555,2.346306542,0.517845907,0.736985659,0.626180245,0.449581352,0.52742947,0.721178958,0.596533599,0.867495792,0.8,0.833747896,1.334,3.066,2.128,129.84%,59.52%
210,FIOUSDT,-1.986008755,0.240705823,72,0,72,1.077030009,9.545568545,8.468538537,41.98717949,37.97483381,4.012345679,59.86713274,0.033274016,2.346306542,0.615559856,1,0.587218883,0.544166406,0.488630553,0.408193433,0.607294855,0.864736783,0.8,0.832368391,0.03489,0.04131,0.04014,18.40%,15.05%
