,coin,base_date,base_price,max_date,max_price,pct_change
0,10set,2022-06-09,0.27661005460358323,2022-06-25,3.7528809281921087,12.567406049539509
1,1inch,2020-12-30,0.8927881040726732,2021-02-06,5.819219195129978,5.518029494999064
2,aave,2020-12-27,75.0472309062878,2021-02-13,529.2602595240969,6.0523622675031055
3,ach,2021-07-21,0.0013679780673833935,2021-08-07,0.1592295630836546,115.39774560729741
4,ada,2017-11-02,0.021320577458857376,2018-01-04,1.1793470150411156,54.31496589700342
5,ads,2017-12-05,0.22136030928412698,2018-01-13,2.147810967656178,8.702782646998184
6,ads,2019-03-25,0.013897870308420816,2019-06-03,0.8657571645595642,61.29423252244597
7,ads,2021-03-05,0.03508579388428452,2021-05-15,0.5244206187079523,13.94680782876196
8,aergo,2019-02-08,0.0563954488370685,2019-04-10,0.4690751121412977,7.317605796462366
9,aergo,2021-01-28,0.04514335062007452,2021-04-03,0.4667702401564322,9.339734063710969
10,agix,2021-05-29,0.037961099296640516,2021-06-09,0.8049102764458033,20.203555517609477
11,albt,2020-12-16,0.05990301816173516,2021-01-29,0.924022034007826,14.425300132841597
12,aleph,2020-06-23,0.009043793980785251,2020-09-01,0.6042960531670596,65.81886545082376
13,alpaca,2021-04-01,0.39068554405312395,2021-05-04,3.4276950189715065,7.773539413338062
14,alpha,2020-11-04,0.027981268648910443,2021-02-06,2.634559619488634,93.1544020946749
15,alu,2021-08-13,0.004032089686909313,2021-09-19,0.060843516422808004,14.089822188316926
16,alu,2021-10-13,0.037772617907835725,2021-11-03,0.4265516558026806,10.292615641400772
17,ama,2021-05-18,1.1910431351223352e-05,2021-07-09,0.06269187257654298,5262.61058872177
18,ama,2022-03-16,0.012567590796458543,2022-04-21,0.09301495960049468,6.401176654057325
19,amp,2021-01-28,0.005663694500507119,2021-02-14,0.036486461115999326,5.442166171344938
20,ampl,2019-10-25,0.2266286924828529,2019-11-18,1.3914236080528777,5.139662161966341
21,ankr,2020-06-16,0.0022970464983202697,2020-08-11,0.016571492285167192,6.214260702726395
22,ankr,2021-02-07,0.015862826883237563,2021-04-18,0.19623403438127807,11.370684987342381
23,ant,2020-07-10,1.350035379292816,2020-08-27,9.592579119875472,6.105427951747692
24,aog,2019-03-05,0.0037128856025825203,2019-04-21,0.20364014100588207,53.84686650842109
25,aog,2019-05-13,0.0010001062925035925,2019-06-27,0.1675570785956834,166.53927042717962
26,aog,2019-10-04,0.0020325624600752573,2019-10-08,0.026953660601759268,12.260926112332747
27,aog,2020-04-13,0.0009846150519622005,2020-05-07,0.010191491303120087,9.350736851736997
28,aog,2020-07-04,0.004446805088854497,2020-09-05,0.11669359696826145,25.24212094673164
29,aog,2021-06-29,0.013464350439341792,2021-10-25,0.15284568456875725,10.351879562058482
30,aog,2022-01-01,0.008816380651928359,2022-02-05,0.2099371558438235,22.812170110634355
31,aog,2022-03-20,0.010534154511748892,2022-04-08,0.2289438885069673,20.733484946667808
32,aog,2022-05-28,0.012309262790571115,2022-06-05,0.21005308431105252,16.064635623179075
33,aqt,2021-02-03,1.760335045244017,2021-04-03,13.502677391090256,6.670515580298818
34,ar,2021-02-01,4.79351941913387,2021-04-01,32.4557642370004,5.77075889323606
35,ar,2021-07-21,7.3249903902277875,2021-09-10,65.59841044259375,7.955426143644922
36,ardr,2017-04-07,0.019632,2017-06-19,0.280614,13.293704156479217
37,ardr,2017-11-12,0.18726600000000002,2018-01-13,2.04358,9.912712398406544
38,ark,2017-07-16,0.329784,2017-09-15,3.97,11.038182567983892
39,arrr,2019-04-13,0.03251792519591168,2019-06-26,0.2720632234030637,7.36656157377682
40,arrr,2021-04-04,0.28379014165860245,2021-04-24,13.044486350181367,44.96525543115516
41,arv,2021-09-02,2.656852298048746e-05,2021-10-13,0.001176238457358654,43.271879856569775
42,asd,2019-02-08,0.015877215454892468,2019-03-27,0.2368306716079785,13.916385828536487
43,asd,2020-12-26,0.03575384087862255,2021-03-28,3.11859831808795,86.22414827192958
44,ask,2021-02-06,0.0001863156748894076,2021-03-10,0.008451528792463919,44.36134062515426
45,ast,2017-11-21,0.19621439936592802,2018-01-09,1.854511325477593,8.451453774394208
46,ast,2020-07-28,0.05025851316429453,2020-08-18,0.3146276128958527,5.2601854509173105
47,atm,2020-12-11,3.937028780666792,2020-12-30,26.086615265347753,5.6259650916063695
48,atm,2021-04-25,8.657104981685615,2021-05-22,52.248456545064535,5.035326665853981
49,audio,2021-01-13,0.16896578108655974,2021-03-28,4.030578181657163,22.854405050170083
50,ava,2019-03-26,0.015407512537370481,2019-04-27,0.17680774348968828,10.475424281553959
51,ava,2020-06-30,0.2998034160031057,2020-08-06,2.0114519931190165,5.709236405425679
52,avax,2020-12-31,2.9140658167284226,2021-02-11,55.51484730173893,18.05064977704059
53,avax,2021-07-21,9.66826820995774,2021-09-24,76.35486767740508,6.897470986454857
54,avinoc,2018-09-19,0.0021017957238233407,2018-10-21,0.016594301272016908,6.895296904415857
55,avinoc,2019-06-06,0.0008742584352521215,2019-06-28,0.00600416061030253,5.8677182492051445
56,avinoc,2019-09-03,3.014038964175072e-05,2019-09-28,0.001899904477985132,62.03516645164296
57,avinoc,2019-12-16,7.194624984529458e-05,2020-02-02,0.0036114280207291726,49.196195472242074
58,avinoc,2020-03-31,0.0006587782423272963,2022-02-24,0.4690120537951745,710.942234367477
59,avt,2020-05-21,0.03248671491707393,2020-06-19,0.2734842930942369,7.418342506847397
60,avt,2021-01-15,0.08779046263013242,2021-01-30,1.207928886670146,12.759226805299319
61,avt,2021-09-14,0.356840653123323,2021-10-28,4.227735970218573,10.84768588784496
62,axn,2020-12-18,4.4723398501520245e-06,2021-01-25,0.0003386019142102291,74.7102379414926
63,axs,2021-02-01,0.8029437120252809,2021-04-29,10.672728652078053,12.292001035985471
