,market,last_slope,last_slope_adi,aroon_up,aroon_down,aroon_diff,macd_diff,macd_line,macd_signal,stochastic,stochastic_signal,delta_stochastic,rsi_val,coef_corr,last_slope_btc,prob_last_slope,prob_macd,prob_macd_diff,prob_stochastic,prob_rsi,prob_corr_btc,prediction,probability
304,KSMUSDT,1.1624335106879895,0.3802834276092417,96.0,0.0,96.0,0.6046811224347977,6.976348159072373,6.371667036637575,80.77485380116957,79.0764178285401,1.6984359726294684,65.27584921170036,0.7745305721343946,1.150705267762699,0.4038479800953448,0.6329404060248854,0.401987377710266,0.3012311048776687,0.4192199718062099,0.5701560333893756,0.0,0.40071225452871706
306,LAZIOUSDT,1.15194382068951,0.22832992514828296,80.0,0.0,80.0,-0.51487655383968,5.711765234670878,6.226641788510558,50.87719298245616,50.05847953216372,0.8187134502924351,58.552743569770826,0.18818275275436464,1.150705267762699,0.4126334174267417,0.6968904912122579,0.5218886706369392,0.6329404060248854,0.506243824625311,0.5347904274450132,1.0,0.8140065098046793
308,LDOUSDT,0.2978218726940904,0.3981180589194424,88.0,88.0,0.0,-0.1964085026135729,3.286557999078269,3.482966501691842,70.87466185752932,70.4238052299369,0.4508566275924153,56.03862622475591,0.8031149632945682,1.150705267762699,0.53592887146883,0.6027696276452496,0.533517619733082,0.5035558913173731,0.5442927977234966,0.5519072635906807,1.0,0.6790614781104627
309,LEVERUSDT,2.2465576249393457,0.6373262456646464,84.0,0.0,84.0,1.987031081577662,13.061349030074226,11.074317948496564,65.77777777777776,61.68979429627899,4.0879834814987674,66.45169559618219,0.2035208307806247,1.150705267762699,0.0,0.0,0.2162373800934083,0.6105303054230757,0.4098662708654739,0.46299401197604795,0.0,0.07734035942208604
311,LINAUSDT,1.1460563361362957,1.077067122539588,76.0,0.0,76.0,1.3809146178512162,7.441343055058507,6.060428437207291,82.7121771217712,78.21138456715836,4.500792554612843,70.17316733894212,-0.277347013464483,1.150705267762699,0.47204730590102745,0.5347904274450132,0.24432273014535497,0.4338701531900567,0.3012311048776687,0.46299401197604795,0.0,0.2957325737014143
313,LINKUSDT,1.0638397097969976,-0.4544193600452883,76.0,88.0,-12.0,-0.26531826693817306,3.0750393212051534,3.3403575881433265,68.42515086626436,68.6847057296736,-0.2595548634092353,55.73084570140587,0.9384879858564895,1.150705267762699,0.4780964020194084,0.6014045068669719,0.5585519468730101,0.43939807237679585,0.5557843052327563,0.6155598559635499,1.0,0.673012626846799
315,LITUSDT,2.3485871972631913,2.8963291785853045,84.0,0.0,84.0,1.6272654485827598,13.42567572441149,11.798410275828731,84.58844133099824,82.27984714025716,2.3085941907410756,67.47056046029701,0.5695326013526891,1.150705267762699,0.0,0.0,0.26429489458284344,0.3012311048776687,0.44462728028734716,0.572861981371719,0.0,0.03392560611883327
317,LOKAUSDT,1.0773305319024802,0.6795199543670638,80.0,0.0,80.0,0.9066575216301942,5.826809081863814,4.92015156023362,68.73630387143903,65.31488599099758,3.421417880441453,65.74234527043659,-0.07250879036187946,1.150705267762699,0.46299401197604795,0.1976482617586912,0.335124826629681,0.5701560333893756,0.43227066739455006,0.6329404060248854,0.0,0.38171806473273373
319,LPTUSDT,0.6854221794209241,0.46308791748042777,20.0,0.0,20.0,-0.8968496891335427,8.105637014370345,9.002486703503887,73.07155322862127,71.94620395006626,1.1253492785550065,60.89685896850365,0.7888129019698469,1.150705267762699,0.5142833252250061,0.5347904274450132,0.5852058665231431,0.6782023475376372,0.46299401197604795,0.5933418908360308,1.0,0.811315598230063
321,LRCUSDT,3.1709644971276023,1.643784232490163,88.0,4.0,84.0,3.019971513572468,11.301289983263189,8.28131846969072,87.04663212435236,84.92641371142209,2.120218412930271,79.47582264181877,0.1682139703942639,1.150705267762699,0.4249596951487616,0.0,0.0,0.3466487334678323,0.0,0.6329404060248854,0.0,0.04178355989932099
323,LSKUSDT,6.213768519841907,-0.28164746990710093,92.0,64.0,28.0,4.021062197677908,10.799502499640298,6.778440301962389,45.27928818586257,48.624155544570755,-3.3448673587081856,63.90555566691247,0.861738796034992,1.150705267762699,0.0,0.0,0.0,0.5257320721646369,0.36959431341453813,0.4814617136350698,0.0,0.046083268859208874
325,LTCUSDT,0.6332239074710923,0.7769062257193292,80.0,36.0,44.0,1.7635502467668678,8.952863988659402,7.189313741892534,75.51803530314655,72.85650196379396,2.6615333393525873,65.27486607476126,-0.1809666204557246,1.150705267762699,0.5127056517863063,0.0,0.2770333213901827,0.46299401197604795,0.4192199718062099,0.5639404842944666,0.0,0.1076363669642931
327,LTOUSDT,1.913904554443897,0.8069908706598902,100.0,0.0,100.0,1.859504299968668,11.81402557329649,9.954521273327822,94.35736677115989,91.8654115152831,2.491955255876789,74.80767111515212,0.32516340701017854,1.150705267762699,0.07588129072780089,0.6329404060248854,0.4414433118109909,0.3300606164091181,0.08124408952400966,0.6329404060248854,0.0,0.34772201142774506
328,LUNAUSDT,6.674515091453222,0.12624648829960655,88.0,64.0,24.0,4.710541821703725,10.71925628653274,6.008714464829016,59.026520396208326,57.233642205417674,1.7928781907906526,78.48949203988583,0.036690520011349384,1.150705267762699,0.5,0.5,0.0,0.46299401197604795,0.0,0.4081934325836765,0.0,0.16137288972216304
329,LUNCUSDT,3.3147982202989303,-0.46474761340994414,88.0,4.0,84.0,2.436005665990862,10.013938378665422,7.57793271267456,56.36678200692042,56.16147635524799,0.20530565167242543,73.02342893950743,0.6184265027399971,1.150705267762699,0.4081934325836765,0.0,0.3300606164091181,0.6767789105138502,0.18361725033246787,0.5148317075606752,0.0,0.16149244923468425
331,MAGICUSDT,0.04737241719945588,0.5169300882539742,80.0,88.0,-8.0,-0.18935810465252245,0.8080360706953513,0.9973941753478738,61.179520414776405,58.46475120616403,2.714769208612374,52.42063770538973,0.3798096358390224,1.150705267762699,0.4314031813017367,0.48721994025392085,0.5237449088635088,0.5753443190735178,0.5463847588897054,0.4249596951487616,0.0,0.4790455857913238
333,MANAUSDT,-0.06488297638546621,0.8151021440917261,88.0,4.0,84.0,2.0420814094809465,12.561861398744881,10.519779989263935,89.80865224625624,85.72924985774823,4.079402388508015,70.05400500279214,0.4097819313769763,1.150705267762699,0.4397136989417498,0.46299401197604795,0.0,0.13551598429613013,0.3012311048776687,0.5639404842944666,0.0,0.08829712386884207
