,market,start,last_slope,last_slope_adi,aroon_up,aroon_down,aroon_diff,macd_diff,macd_line,macd_signal,stochastic,stochastic_signal,delta_stochastic,rsi_val,coef_corr,last_slope_btc
0,MASKUSDT,2023-07-01,-0.2598252595366044,-0.7254717225319663,0.0,16.0,-16.0,-0.0237775203256851,-2.503911525365844,-2.4801340050401586,40.08264462809917,33.23002754820937,6.8526170798897965,43.963419845362246,0.6530691745869912,1.9420026218922244
1,CHRBTC,2022-01-12,-1.185157433767429,-0.3969542113210491,60.0,8.0,52.0,-0.3835388072283345,3.0703711179376683,3.453909925166003,46.379647749510745,38.77539231613628,7.604255433374462,56.69791215945884,0.3432505635269739,-0.518235891903554
2,SSVUSDT,2023-11-24,0.5194159944483353,2.000122026498631,100.0,16.0,84.0,0.7514055439081639,3.039644114014111,2.288238570105947,80.74468085106383,68.42739880422776,12.31728204683607,70.36361502232864,-0.3383394807266905,0.590437911518166
3,BNBBTC,2024-02-01,0.0332393987438463,-0.7765914596878711,64.0,8.0,56.0,-0.8590778514978463,0.4548054333295006,1.313883284827347,1.8137847642080125,7.077283841316992,-5.263499077108979,43.43689123576025,-0.7243799289038854,-0.4399689666977366
4,UNFIUSDT,2022-12-28,-0.1884445436359847,0.1298129017897895,16.0,100.0,-84.0,-0.0485801416207665,-1.3036881058409566,-1.25510796422019,14.999999999999991,26.997656707674263,-11.997656707674272,35.41680972226703,-0.0083357041860992,-0.133785077037398
5,XRPUSDT,2022-07-23,-0.0757957497828047,-0.0090979390550661,88.0,60.0,28.0,0.4021841604033519,0.4571625726478725,0.0549784122445206,71.76913425345047,74.40401505646174,-2.6348808030112707,54.87844039362896,0.913330780934884,0.3321103711937141
6,GRTUSDT,2023-02-25,0.5967644151028657,-0.368153914307818,28.000000000000004,4.0,24.000000000000004,-1.0326415283227472,2.566929976675368,3.5995715049981154,20.545073375262053,32.9140461215933,-12.368972746331249,50.82843867164479,0.9697130847018424,0.1330698842575739
7,SSVUSDT,2023-11-03,0.4671623743393886,0.2154574633460499,0.0,44.0,-44.0,0.532004419828331,0.0771926168336518,-0.4548118029946791,78.40236686390533,78.53836026677857,-0.1359934028732397,54.267845057148094,-0.3447534641287745,0.0866932687227099
8,UNIBTC,2023-01-12,0.622785855894114,-0.6626754384950472,88.0,44.0,44.0,0.9397890453982456,0.4247074333738396,-0.515081612024406,62.97169811320754,68.33139000777327,-5.359691894565728,52.58504337198742,-0.5282180322961197,-0.1208212756567716
9,ONGUSDT,2023-09-18,1.7647434155609194,0.1226769821723155,100.0,76.0,24.0,1.5254665370757003,-0.3239277820394601,-1.8493943191151605,97.68976897689768,87.54333600690752,10.146432969990144,59.409968559478045,-0.1543385258440922,1.3111454524249158
10,SPELLUSDT,2023-04-08,-0.0743371302357792,-0.2669921945390174,72.0,52.0,20.0,0.207215991268941,0.3785929483486505,0.1713769570797095,49.42486085343228,52.789115646258495,-3.364254792826216,53.35573561061312,0.8353678003824887,0.0369204226965794
11,AGLDBTC,2021-11-19,-1.110248352713529,-18.05193129163013,16.0,88.0,-72.0,0.8354469146399595,-8.373849316329649,-9.209296230969608,20.83333333333335,15.476190476190489,5.357142857142863,37.48721636487101,-0.6853391330069899,-4.953442304083225
12,ORNBTC,2021-03-21,5.803528399303941,-1.396256317720279,92.0,0.0,92.0,1.9243059892851804,12.95100454783544,11.026698558550258,87.32663797226208,80.72692491630801,6.599713055954069,72.35044254315378,0.4810020256533058,0.7560008069993721
13,IOTAUSDT,2023-09-24,-1.4568861725940392,-0.0500172034774091,32.0,84.0,-52.0,-0.8789850356893687,-2.402036790715635,-1.5230517550262663,12.16216216216214,14.07102307787232,-1.9088609157101784,39.1387299801848,-0.3728622957126536,0.5588961459288705
14,SKLUSDT,2022-01-10,-0.4195346899760426,-0.8600561915708163,44.0,100.0,-56.0,-0.3755143606796536,-2.3893273055103474,-2.013812944830694,10.843373493975925,10.152919369786856,0.6904541241890669,30.290788420283533,0.5937063023237406,-0.4705666488802642
15,HARDBTC,2023-04-21,-0.0463237851470806,0.0785860162013445,52.0,64.0,-12.0,0.2725215477076734,-1.1770942923905243,-1.449615840098198,13.333333333333306,22.02020202020197,-8.686868686868669,38.81446620322221,-0.2305800087994276,0.236393743361175
16,EGLDUSDT,2022-09-25,-0.0243684486081153,-0.3561433330269729,0.0,84.0,-84.0,-0.0144040097664042,-0.3945074118116818,-0.3801034020452776,12.041284403669694,23.229331603361587,-11.188047199691892,38.77721404577609,0.9266909626475276,-0.1979200107263313
17,VITEBTC,2023-05-25,0.4104107653287779,0.3262806067766324,100.0,44.0,56.0,1.0132548060400142,-0.9771208626713106,-1.9903756687113248,55.0,62.28937728937728,-7.289377289377278,53.9176245798064,-0.7414635512109826,-0.4911117922522035
18,FIROUSDT,2022-05-27,-0.6887401723557133,0.2606604371632319,0.0,40.0,-40.0,0.7089693009600984,-3.352093652483389,-4.061062953443488,29.74203338391501,48.863749963597,-19.12171657968199,35.933091484210934,0.7321981628224441,-0.2524567605361768
19,ICPBTC,2021-06-23,-1.8192785909332847,-4.770074102830998,20.0,100.0,-80.0,0.6893238485956097,-12.210247675543112,-12.899571524138722,7.066557107641752,2.9072503396185376,4.159306768023214,19.489838350340804,0.7773145366517787,-4.445981155416617
20,PHAUSDT,2021-12-30,1.7247988643696253,-1.357902493870443,80.0,60.0,20.0,2.0601675272148894,-3.470193052124438,-5.530360579339328,22.81818181818181,24.464646464646464,-1.6464646464646542,44.386713036544414,-0.037501947975169,0.2308920216278928
21,QNTBTC,2022-11-03,-0.6446800433178035,-0.0114938562698116,32.0,16.0,16.0,-2.4847127735236274,0.203812067914626,2.688524841438253,4.60978568540236,7.826763745051743,-3.2169780596493824,44.58646485999084,-0.4144642697046975,-0.0812303604663974
22,IDEXBTC,2022-03-11,-0.2693394530733233,-0.5539573071561786,24.0,92.0,-68.0,-0.2029174535388533,-1.2663966969615077,-1.063479243422654,2.777777777777781,3.009259259259275,-0.2314814814814938,41.50540026404587,0.2447459727770475,-0.3592692374672259
23,ZENBTC,2020-04-11,-0.2246188094542377,-0.5262060011893476,0.0,100.0,-100.0,0.0306952565678546,-3.341628737945726,-3.372323994513581,1.763224181360217,4.9248094102892965,-3.16158522892908,34.62599217621245,-0.4395956484712436,0.4405091943120587
24,PORTOUSDT,2023-12-04,0.1818413049479781,0.3596492048217285,12.0,48.0,-36.0,0.1885358135582491,0.5753730213103303,0.3868372077520811,77.55905511811027,77.66024728836607,-0.1011921702557998,55.702206709971136,-0.6032591647514134,0.4268443597684647
25,ACMUSDT,2023-11-17,0.1794805466143331,0.3541950460222668,80.0,0.0,80.0,-0.5686025796113412,1.2012750459814932,1.7698776255928343,26.984126984126995,24.76190476190476,2.222222222222236,52.07455360473973,-0.3872173716129954,0.4308684298458236
26,BADGERBTC,2023-05-08,-0.0074357788370973,0.4790767570971503,88.0,52.0,36.0,0.73960341910691,-0.1337861362334163,-0.8733895553403263,28.01932367149761,37.037037037037045,-9.017713365539436,49.25859956046,-0.2400805034414427,-0.1920130956960338
27,AERGOUSDT,2023-09-29,1.855673855515077,-0.5223089674936583,8.0,28.000000000000004,-20.000000000000004,1.2154337363890333,5.45185081949192,4.236417083102887,60.71428571428577,65.57146760229229,-4.857181888006515,60.45741083301421,0.5119555266569394,0.2435589246134285
28,ANKRBTC,2021-05-11,-1.3739515731673788,-0.388902404849302,0.0,28.000000000000004,-28.000000000000004,-1.5241594020613087,1.1038770076839055,2.6280364097452145,34.999999999999986,21.02564102564104,13.974358974358946,51.68271583204179,0.6454107731244587,-0.1590589125238163
29,RENUSDT,2022-04-05,0.8210359059947981,-0.5359361876689186,80.0,20.0,60.0,0.4715658774382154,3.2887423891449004,2.817176511706685,62.850601030337735,63.75481132385747,-0.904210293519732,61.51348133934294,0.8348129985310911,1.0480132600091454
30,THETAUSDT,2020-02-07,0.910324024299626,1.4181817411798283,100.0,0.0,100.0,1.935995910372787,6.604036825055303,4.668040914682516,98.01980198019804,96.02704367682738,1.9927583033706493,68.92078073334943,0.4170859557754525,0.7806755191732696
31,AXSUSDT,2023-10-20,-0.0964393126941042,-0.6826290769456336,24.0,96.0,-72.0,-0.0706802232633414,-1.1570511611434475,-1.0863709378801063,39.58333333333338,21.49074074074077,18.09259259259261,42.93518192236561,-0.274394228505341,0.4133982873378851
32,ZILUSDT,2023-09-20,-0.1715472255909361,0.069087509129818,12.0,64.0,-52.0,0.8027248743584514,-1.3718711628425613,-2.1745960372010127,88.18181818181819,78.7878787878788,9.393939393939393,50.30913113650893,-0.0717735579799547,0.9699052478329586
33,AERGOUSDT,2023-10-07,0.3575769861848891,-1.6809871727032422,32.0,0.0,32.0,-0.4223247691966012,4.364099699614528,4.786424468811129,67.07317073170738,51.219512195122014,15.853658536585364,58.25528411047328,0.5114493130737935,0.9963212323930134
34,SOLUSDT,2021-12-23,-0.7040277793246169,-0.018602292560996,16.0,60.0,-44.0,0.8960354627122054,-2.363887009625401,-3.2599224723376063,92.3669159700836,73.3136836868977,19.05323228318589,51.611547136861,0.5262523385916895,0.5763359121633046
35,XVSUSDT,2023-06-05,-0.0758436057637281,-0.1775798353654748,28.000000000000004,100.0,-72.0,-0.1889198536103542,-3.543866062611716,-3.354946209001362,5.1546391752577145,26.35589421783953,-21.20125504258182,30.20559567854069,0.6243311574175753,0.3043751064356242
36,OGNUSDT,2023-04-18,0.1875786339926606,0.8605311682586823,92.0,16.0,76.0,0.1645469933397515,0.6853596005551958,0.5208126072154443,77.22222222222227,75.07121304504172,2.151009177180555,60.30118247832869,0.7353599409187369,0.323147736080904
37,MAVUSDT,2023-12-01,0.611268224115554,-0.1905977527826785,76.0,12.0,64.0,-0.5964271061209478,3.156891632531305,3.753318738652253,46.81081081081079,42.918918918918926,3.8918918918918592,54.001715305072985,0.259601809349242,0.8230691220928978
38,DODOUSDT,2022-01-19,-0.0539780632890547,0.0671741510471435,12.0,64.0,-52.0,0.0199656881930845,-0.80162713127122,-0.8215928194643045,17.061611374407548,24.53704404706023,-7.475432672652683,36.65772681818032,0.4989132442212492,-0.8003438213999958
39,CVXUSDT,2023-04-04,-0.1226128035450495,-0.334370222384535,16.0,4.0,12.0,0.0551400539383979,-0.3596890458293416,-0.4148290997677396,59.31790499390984,37.0689373739269,22.24896761998293,49.44723214513901,0.9051528203468152,-0.1664846934076208
40,CREAMUSDT,2023-12-30,2.492069061847092,-4.212517398993708,84.0,8.0,76.0,1.4866144581928746,3.402768681127796,1.916154222934921,28.032345013477105,23.495058400718804,4.537286612758301,59.08505144259911,0.4001721145477864,0.3209069981475335
41,SKLUSDT,2023-05-02,-0.4126295711781702,-0.3230730354248262,36.0,96.0,-60.0,-0.3505986237234211,-0.9001267021995929,-0.5495280784761718,8.941877794336808,5.477396171306999,3.4644816230298083,41.22784114678692,0.7309443771583488,-0.5598296055786032
42,FORTHUSDT,2022-11-19,0.3756752691452764,0.0438350009511957,8.0,60.0,-52.0,-0.1617856275243396,-2.5044928176628707,-2.342707190138531,20.57142857142857,20.87229437229439,-0.3008658008658216,31.41341591161971,0.8462503405784645,-0.0898330041114989
43,DASHUSDT,2019-09-01,-0.7132248712558013,-1.526972746168003,0.0,88.0,-88.0,-0.565628182234863,-7.022019534073036,-6.456391351838173,7.715736040609116,10.118443316412865,-2.402707275803749,27.107326292786084,0.116192626206422,-1.06092477379079
44,FORTHBTC,2022-03-08,0.0181343398987563,0.2991544358619357,44.0,72.0,-28.0,0.0874236694289716,-0.1392673756360021,-0.2266910450649737,30.93220338983053,26.411501166453206,4.520702223377324,49.79994073773148,-0.1569201659142621,-0.4584600328757386
45,LSKBTC,2023-02-24,0.4914449743651281,0.0051737039987305,28.000000000000004,8.0,20.000000000000004,0.032971058496436,6.00358081749134,5.970609758994904,58.9511754068716,49.96986136226638,8.98131404460522,59.8909587746716,0.2295744866024065,0.1142516437454377
46,BADGERBTC,2023-07-10,-0.3257176510901579,-0.2190056510433886,28.000000000000004,88.0,-60.0,0.2491091096909696,-1.5481417440065808,-1.7972508536975504,24.489795918367403,28.76541584375687,-4.275619925389467,34.44906499805926,-0.6697366753461826,-0.5511153363901236
47,GASBTC,2018-10-27,-0.015187680086418,0.0751784610946645,20.0,52.0,-32.0,0.0456850069197739,-0.2527452952914912,-0.2984303022112652,51.111111111111086,55.92592592592593,-4.814814814814845,45.01090267749593,0.328975815939481,0.0102409872564965
48,RNDRBTC,2022-02-06,3.946997650724421,10.553358469294318,84.0,48.0,36.0,3.0981044093382426,1.6028780421454982,-1.4952263671927442,50.84745762711865,55.25423728813559,-4.406779661016941,51.20002688520572,0.7274915300476904,3.3381992297392107
49,CHRUSDT,2020-09-09,-1.3862070932258677,-2.125487753698695,0.0,84.0,-84.0,-2.3930180964979604,-6.577168573544242,-4.184150477046281,37.195452084461294,38.359501894964815,-1.1640498105035206,42.351222142043184,0.8390232063709341,-2.9261417415925144
50,WAXPBTC,2022-09-27,0.0036988033897064,-0.5788448338245018,52.0,48.0,4.0,-0.0036807963972362,-0.5688220693849928,-0.5651412729877565,62.50000000000001,64.52020202020203,-2.020202020202028,38.35150562326183,0.638055536360605,-0.1846106614275217
51,MATICUSDT,2021-11-26,1.196852583958275,0.8149809083213361,8.0,68.0,-60.0,0.1084369753595066,-0.0286671597018965,-0.1371041350614032,37.595419847328216,65.36543284572964,-27.770012998401427,47.919766345177294,0.3750036451480687,-1.2519098101854218
52,DIAUSDT,2021-05-17,-2.8731190960813624,-1.189422902358195,52.0,12.0,40.0,-2.919623879516166,-1.8949474434894853,1.024676436026681,6.901960784313732,11.851119947060148,-4.949159162746416,40.974348968749126,0.8197453630022015,-2.437755051324189
53,JSTBTC,2021-12-11,0.0075851566198076,-0.3545351162767792,88.0,80.0,8.0,0.1741564488750291,-0.137606112564729,-0.3117625614397581,43.33333333333333,51.11111111111109,-7.777777777777764,48.38615423804868,0.3626771889771839,-1.1302168411360891
54,STPTBTC,2023-07-30,1.0871867609384902,1.076932643434674,84.0,4.0,80.0,0.6983636824125465,5.122081578918511,4.4237178965059645,27.659574468085115,39.007092198581525,-11.34751773049641,54.1745898556508,-0.502964047663579,-0.2255026839053951
55,MBLUSDT,2021-10-02,-0.4490579469798683,0.7390767161594505,0.0,88.0,-88.0,0.1959531307613709,-1.3823248349317367,-1.5782779656931076,65.10846318362357,49.81158977492615,15.296873408697422,52.17061329900542,0.7464850840022286,-0.3780434299271166
56,QUICKUSDT,2022-02-09,0.7791644246218256,1.0277097450871655,0.0,36.0,-36.0,1.2974923334712765,-1.7789362344832167,-3.076428567954493,69.26770708283314,56.86274509803923,12.404961984793914,53.57424738390272,0.292454381024433,3.199799890109829
57,QIUSDT,2022-07-13,0.0333918357612179,0.3882684688999792,76.0,0.0,76.0,0.0188759536272707,0.1127764368033934,0.0939004831761227,52.830188679245246,42.13836477987419,10.69182389937106,52.0169020555239,0.8545879008193141,0.1297317634008732
58,BTCUSDT,2019-04-16,-0.281111001180872,-0.272009626371787,76.0,12.0,64.0,-0.1802281329971995,4.107402895805279,4.287631028802479,62.86013462976818,70.14069006087901,-7.280555431110827,68.32988806869669,0.9999924838855608,-0.6964441956580464
59,NEOBTC,2021-10-28,-0.538081346848078,-0.2008279085859403,0.0,96.0,-96.0,0.2931846661016544,-2.9823645359021462,-3.2755492020038006,24.626865671641823,31.540316753999885,-6.913451082358062,35.61224341814541,0.1736956749247975,-0.0756530695431955
60,GMXBTC,2023-02-22,-1.0549309834590528,-2.3420430138581403,68.0,0.0,68.0,-1.1329886674405645,8.192142796689552,9.325131464130116,28.06880375293198,31.873859786291376,-3.805056033359396,54.13229657289999,0.0712018171374707,2.669876273535833
61,RENUSDT,2023-02-28,0.1448610914894685,0.4076058899487621,76.0,40.0,36.0,0.0986587179499413,0.8981789552414341,0.7995202372914928,40.281370260551405,31.02235772912688,9.259012531424524,60.70668432430313,0.9451337848910156,-0.0296102948793268
62,ARBBTC,2023-10-30,-0.8462782845207231,-0.0245571394517162,8.0,72.0,-64.0,0.529210749648731,-3.374254771003791,-3.903465520652522,72.89156626506029,49.22753799909481,23.664028265965484,44.964918225814095,-0.0237799823468631,5.68790662362004
63,PAXGBTC,2020-10-01,-2.6487511754460824,42.73171885349147,8.0,52.0,-44.0,-1.0990033843656373,-2.957480449178292,-1.858477064812654,70.9049255441008,54.8491790759832,16.05574646811761,53.15818364625644,-0.913236493584234,-0.5218862967856306
64,ADXBTC,2020-09-28,2.2340097923060305,-0.1739226036793577,32.0,16.0,16.0,2.099564985878684,1.5074442267827948,-0.5921207590958893,52.45098039215685,57.06699346405227,-4.616013071895416,56.53617225048215,0.6945259383097625,0.473309702981827
65,STEEMBTC,2023-09-05,-0.1351451310471148,0.2098961303434423,52.0,20.0,32.0,0.0564635355675835,-0.8518028718296335,-0.9082664073972172,42.50000000000002,32.50000000000002,10.0,50.26593164074183,-0.812012232123781,-0.6339860013490942
66,BONDBTC,2021-09-15,-0.7526913192074475,-22.17500852686117,20.0,96.0,-76.0,-0.9775473106692631,-2.3487411614991167,-1.3711938508298536,5.311137534680936,6.197452029649448,-0.886314494968512,39.2507412364422,-0.6285115019638994,-0.517505868806298
67,KP3RUSDT,2023-12-26,3.6950623638015614,0.6913651884681273,100.0,68.0,32.0,1.884095413515649,3.5527335034744283,1.6686380899587792,79.10676047721016,66.15474095343092,12.952019523779242,73.10269824888417,-0.0163300593772571,0.6451338229733085
68,IRISUSDT,2021-07-11,-0.0348444856312768,-0.2198646861363495,4.0,24.0,-20.0,0.1598805429031303,-0.7371970574445648,-0.8970776003476951,30.620375640295933,37.74971878079847,-7.129343140502535,46.089605929799376,0.7413100930818252,-0.1388156363641541
69,DYDXUSDT,2024-01-09,-2.0940335990327017,-0.0792626290262648,48.0,76.0,-28.0,-2.2370002522379533,-5.141031239302933,-2.90403098706498,16.771653543307092,22.75590551181104,-5.984251968503948,36.6012814117062,0.5508286365506766,0.398577792825269
70,HARDUSDT,2022-01-07,-0.3569274898732869,-0.4399922100046857,56.00000000000001,28.000000000000004,28.000000000000004,-0.110560131815995,-0.7451137173471842,-0.6345535855311892,2.142133449124336,6.374197746522121,-4.232064297397786,42.51296638433295,0.6043810428508675,-0.2975801934977116
71,LPTUSDT,2022-07-28,0.0229391215932153,-0.2630896696177477,100.0,40.0,60.0,0.3204196568527973,0.1932868826261899,-0.1271327742266073,47.3622508792497,39.339459120487696,8.022791758762004,68.30350568593987,0.7123994576976372,0.128699830437068
72,ADAUSDT,2022-06-24,-0.0286383205330592,-0.048050334723692,4.0,76.0,-72.0,0.0247112901340502,-1.0871128476923544,-1.1118241378264049,39.3600812595226,27.758165801602534,11.60191545792006,46.46743697512191,0.7175344646796569,0.111245396965954
73,NKNUSDT,2022-04-17,-1.2556629931819228,0.0894872720460582,40.0,76.0,-36.0,-1.1599610936535163,-1.16148275193839,-0.0015216582848738,5.379746835443039,10.20300305753361,-4.823256222090572,40.84874006730992,0.8001907236909052,-1.74684083676908
74,CREAMUSDT,2024-02-15,1.364363620575092,1.687468704399664,8.0,44.0,-36.0,1.7370894297446424,0.188086883560544,-1.5490025461840984,54.39739413680785,47.829434409239006,6.567959727568841,59.15789393351093,0.1100245560243766,2.866216499492129
75,LPTBTC,2024-01-24,0.3340605284727945,-0.4280276962049342,52.0,40.0,12.0,-0.04345863224499,-0.2538635401059128,-0.2104049078609227,19.8473282442748,34.28696867426314,-14.439640429988344,45.29831848753236,-0.518664605179147,-1.5415315233198643
76,WINGBTC,2023-04-29,-0.0553253100038469,-0.5962539927544492,16.0,32.0,-16.0,-0.1387926815850524,-0.2255905151402029,-0.0867978335551505,5.1063829787234125,3.154864441237186,1.9515185374862267,40.85045834784573,-0.4395509216453293,-0.0037644289831081
77,TFUELUSDT,2021-06-13,2.781904182005534,-1.1527851775157791,84.0,0.0,84.0,1.902585055862012,9.543294499156945,7.640709443294931,72.95313813928598,54.73635012076062,18.216788018525364,65.15172136810193,0.7782986403403306,0.0950925266510071
78,MDXUSDT,2022-08-04,0.0133991615311993,0.669628982434658,36.0,68.0,-32.0,0.0258431846031368,0.0787191556568125,0.0528759710536756,42.06128133704736,43.36118848653668,-1.2999071494893215,55.032936285267056,0.6507999719779861,0.203120755397776
79,LINAUSDT,2021-11-08,0.3088445447882748,-1.1768668729642788,96.0,52.0,44.0,1.1267304629317632,2.430769193358472,1.304038730426709,66.67380595416577,77.22207074059106,-10.548264786425293,70.93950024188075,0.6739063914495317,-0.0138375554087701
80,ERNUSDT,2023-11-14,0.6318432076834701,-0.7841515142750174,92.0,0.0,92.0,0.2675885367630934,3.4243176053743927,3.156729068611299,33.974358974359,48.64672364672368,-14.67236467236468,53.95033961480465,-0.2097553958738912,0.7045682526926392
81,SOLUSDT,2023-08-02,-0.2115074094673483,-0.4911122206093925,24.0,8.0,16.0,-1.168265710615156,1.5578762522051264,2.7261419628202823,9.032258064516093,19.64157706093189,-10.6093189964158,47.46405053252322,0.0559459376816111,-0.289103435299389
82,YGGUSDT,2023-11-23,-2.647647494825978,-0.5736240659351558,56.00000000000001,12.0,44.00000000000001,-2.147569669745918,4.640067336303481,6.787637006049399,20.37617554858936,28.719719839665427,-8.343544291076064,51.23101254600239,0.2813569000376014,0.4059993694240762
83,SUIUSDT,2023-06-13,-4.161743124721985,40.69122336274874,8.0,88.0,-80.0,-1.7873652460606682,-15.665021226649351,-13.877655980588685,37.68260956573945,27.21527379930005,10.467335766439398,30.91198512455537,0.8017974522931692,-3.6235047001767735
84,SCRTBTC,2021-05-09,0.2984831062030154,-1.2534763664678157,4.0,44.0,-40.0,-0.4615559171799392,0.9177942800439638,1.379350197223903,36.151603498542286,43.49846497528373,-7.346861476741438,47.422799453729,0.7231053452465878,0.6995876347772869
85,LAZIOUSDT,2022-05-01,-0.3501880988697171,-1.5561109061919312,4.0,96.0,-92.0,-0.4031480265859285,-1.1560987994018586,-0.75295077281593,10.46480743691899,11.7060749802651,-1.2412675433461082,30.79300513377181,0.8141457041586063,-0.4986658781087207
86,BELUSDT,2023-05-07,0.1892597841627246,0.2107071788329907,20.0,40.0,-20.0,-0.4763928148634396,0.3438889674426519,0.8202817823060916,25.959978366684663,27.881503681447427,-1.921525314762761,49.80038828837887,0.3634602871115427,-0.231716819013497
87,BANDBTC,2022-03-27,-0.1978049381330826,0.3918795005932229,16.0,48.0,-32.0,0.4892684750040202,-0.0430419953181728,-0.5323104703221931,96.50349650349652,73.71712794248005,22.78636856101648,57.71936062372616,0.2753473557590546,1.2155799415251125
88,MDTBTC,2020-08-02,-6.787764811870576,-54.05972490544477,12.0,76.0,-64.0,-7.366473157795239,-6.520847295406909,0.8456258623883295,9.8360655737705,8.196721311475422,1.6393442622950791,39.29081375955212,-0.1693529499481613,7.9804537211473265
89,FILBTC,2023-07-12,0.4349068519031646,-0.4784470236824681,72.0,52.0,20.0,0.3376548112967635,-0.1489350506725735,-0.486589861969337,44.1527446300716,47.09626093874305,-2.943516308671448,46.94251636422933,-0.4907548864198827,-0.3431923611158232
90,AMPUSDT,2023-08-22,-1.378703032610083,-0.1896778786718569,20.0,100.0,-80.0,-0.98301969251858,-1.3660943003275072,-0.3830746078089271,5.813953488372077,5.623844339619335,0.1901091487527422,34.1420318086563,-0.4907539795862971,-3.432768623537816
91,ENSUSDT,2023-08-05,-0.4341260960376408,-1.0868552952308703,12.0,96.0,-84.0,-0.7419872814254049,-0.5448148979171741,0.1971723835082309,23.70370370370373,12.136752136752143,11.566951566951586,42.115251032042494,-0.4546002184361543,-0.248345768986179
