,market,init_price,max_price,cur_price
120,CHESSBTC,4.03e-06,4.15e-06,4.08e-06
121,CHESSUSDT,0.2079,0.285,0.2827
122,CHRBTC,9.1e-06,9.36e-06,8.99e-06
123,CHRUSDT,0.4676,0.503,0.3662
124,CHZBTC,2.18e-06,2.21e-06,2.18e-06
125,CHZUSDT,0.11239,0.16351,0.15234
126,CITYUSDT,3.155,3.493,3.473
127,CKBUSDT,0.010747,0.021979,0.020313
128,CLVBTC,1.13e-06,1.17e-06,1.17e-06
129,CLVUSDT,0.05775,0.08338,0.07604
130,COMBOUSDT,0.805,1.1939,1.0698
131,COMPBTC,0.001123,0.001151,0.001138
132,COMPUSDT,57.96,102.08,90.18
133,COSBTC,1.3e-07,1.4e-07,1.4e-07
134,COSUSDT,0.00661,0.00848,0.008133
135,COTIBTC,1.77e-06,2.04e-06,2.01e-06
136,COTIUSDT,0.09123,0.274,0.20738
137,CREAMUSDT,16.41,18.6,18.17
138,CREOUSDT,0.0,0.0,0.0
139,CRVBTC,1.016e-05,1.029e-05,1.024e-05
140,CRVUSDT,0.5234,0.8143,0.8143
141,CTKBTC,1.35e-05,1.389e-05,1.389e-05
142,CTKUSDT,0.6959,0.9581,0.9547
143,CTSIBTC,5.6e-06,5.79e-06,5.79e-06
144,CTSIUSDT,0.2886,0.4448,0.3743
145,CTXCBTC,1.212e-05,1.228e-05,1.176e-05
146,CTXCUSDT,0.6217,0.6677,0.6235
147,CVPUSDT,0.471,0.5549,0.5549
148,CVXUSDT,3.65,5.628,5.24
149,CYBERBTC,0.00015956,0.00017473,0.00016778
150,CYBERUSDT,8.219,11.51,11.468
151,DARBTC,2.92e-06,2.94e-06,2.94e-06
152,DARUSDT,0.15045,0.24279,0.23069
153,DASHBTC,0.0005819,0.0005897,0.0005768
154,DASHUSDT,30.03,40.73,39.5
155,DATABTC,1.21e-06,1.37e-06,1.35e-06
156,DATAUSDT,0.06263,0.08071,0.07961
157,DCRBTC,0.0003412,0.000348,0.0003454
158,DCRUSDT,17.57,26.06,25.7
159,DEGOBTC,4.599e-05,4.689e-05,4.655e-05
160,DEGOUSDT,2.373,3.105,2.747
161,DENTUSDT,0.001312,0.002438,0.00223
162,DEXEUSDT,3.161,11.851,11.851
163,DFUSDT,0.04339,0.0548,0.05351
164,DGBBTC,1.6e-07,1.7e-07,1.7e-07
165,DGBUSDT,0.00852,0.01621,0.01507
166,DIABTC,1.173e-05,1.173e-05,1.106e-05
167,DIAUSDT,0.6022,0.6226,0.6072
168,DODOBTC,3.67e-06,3.73e-06,3.69e-06
169,DODOUSDT,0.1889,0.2713,0.2645
170,DOGEBTC,1.61e-06,1.63e-06,1.62e-06
171,DOGEUSDT,0.08309,0.2028,0.15952
172,DOTBTC,0.0001503,0.0001513,0.00015
173,DOTUSDT,7.744,10.889,10.605
174,DUSKBTC,5.71e-06,5.81e-06,5.77e-06
175,DUSKUSDT,0.294,0.3561,0.3324
176,DYDXBTC,6.082e-05,6.126e-05,6.072e-05
177,DYDXUSDT,3.133,4.445,4.385
178,DYMBTC,0.00014172,0.00014858,0.00014858
179,DYMUSDT,7.329,7.858,6.909
180,EDUBTC,1.583e-05,1.655e-05,1.64e-05
181,EDUUSDT,0.81455,1.00988,0.96152
182,EGLDBTC,0.001115,0.001132,0.001132
183,EGLDUSDT,57.44,71.54,66.98
184,ELFBTC,1.22e-05,1.22e-05,1.211e-05
185,ELFUSDT,0.6284,0.7249,0.6672
186,ENJBTC,6.25e-06,6.39e-06,6.35e-06
187,ENJUSDT,0.3222,0.5922,0.5702
188,ENSBTC,0.0004278,0.0004278,0.0004243
189,ENSUSDT,22.04,30.38,25.71
190,EOSBTC,1.484e-05,1.513e-05,1.503e-05
191,EOSUSDT,0.765,1.2882,1.2882
192,EPXUSDT,0.0002336,0.0004664,0.0004064
193,ERNUSDT,2.4,4.465,4.465
194,ETCBTC,0.0005016,0.0005055,0.0005048
195,ETCUSDT,25.85,38.95,38.64
196,ETHDOWNUSDT,0.0,0.0,0.0
197,ETHUPUSDT,0.0,0.0,0.0
198,ETHBTC,0.05394,0.05427,0.0542
199,ETHUSDT,2779.66,3928.87,3905.06
200,FARMBTC,0.000867,0.00088,0.00088
201,FARMUSDT,44.53,52.03,50.85
202,FDUSDUSDT,0.9994,1.0041,1.002
203,FETBTC,1.561e-05,1.613e-05,1.554e-05
204,FETUSDT,0.8048,2.7734,2.5898
205,FIDABTC,6.47e-06,6.55e-06,6.55e-06
206,FIDAUSDT,0.3325,0.512,0.477
207,FILBTC,0.0001198,0.0001237,0.0001184
208,FILUSDT,6.172,10.836,10.208
209,FIOBTC,6.7e-07,6.8e-07,6.8e-07
210,FIOUSDT,0.03489,0.04131,0.04014
211,FIROBTC,3.505e-05,3.56e-05,3.521e-05
212,FIROUSDT,1.8,2.145,2.074
213,FISBTC,8.56e-06,8.76e-06,8.75e-06
214,FISUSDT,0.4427,0.8924,0.7545
215,FLMBTC,1.73e-06,1.81e-06,1.81e-06
216,FLMUSDT,0.0896,0.1315,0.1238
217,FLOKIUSDT,3.338e-05,0.00016914,0.00014663
