,Unnamed: 0,coin,base_date,base_price,max_date,max_price,pct_change,pump_length,date_listing,pump_to_listing,state
0,0,10set,09-06-2022,0.27661005460358323,25-06-2022,3.7528809281921087,12.567406049539509,16,02-04-2021,433,bullish
3,3,ach,21-07-2021,0.0013679780673833935,07-08-2021,0.1592295630836546,115.3977456072974,17,08-09-2020,316,bearish
10,10,agix,29-05-2021,0.037961099296640516,09-06-2021,0.8049102764458033,20.20355551760948,11,22-01-2018,1223,bearish
16,16,alu,13-10-2021,0.037772617907835725,03-11-2021,0.4265516558026806,10.292615641400774,21,30-04-2021,166,bearish
19,19,amp,28-01-2021,0.005663694500507119,14-02-2021,0.036486461115999326,5.4421661713449385,17,09-09-2020,141,bearish
20,20,ampl,25-10-2019,0.2266286924828529,18-11-2019,1.3914236080528777,5.13966216196634,24,29-06-2019,118,bullish
26,26,aog,04-10-2019,0.0020325624600752573,08-10-2019,0.026953660601759268,12.260926112332747,4,20-09-2018,379,bearish
27,27,aog,13-04-2020,0.0009846150519622005,07-05-2020,0.010191491303120087,9.350736851736997,24,20-09-2018,571,bearish
31,31,aog,20-03-2022,0.010534154511748892,08-04-2022,0.2289438885069673,20.733484946667808,19,20-09-2018,1277,bearish
32,32,aog,28-05-2022,0.012309262790571115,05-06-2022,0.21005308431105246,16.064635623179072,8,20-09-2018,1346,bearish
40,40,arrr,04-04-2021,0.28379014165860245,24-04-2021,13.044486350181367,44.96525543115516,20,10-02-2019,784,bearish
46,46,ast,28-07-2020,0.050258513164294534,18-08-2020,0.3146276128958527,5.260185450917311,21,22-10-2017,1010,bullish
47,47,atm,11-12-2020,3.937028780666792,30-12-2020,26.086615265347753,5.6259650916063695,19,22-06-2020,172,bearish
48,48,atm,25-04-2021,8.657104981685615,22-05-2021,52.248456545064535,5.035326665853981,27,22-06-2020,307,bearish
55,55,avinoc,06-06-2019,0.0008742584352521215,28-06-2019,0.00600416061030253,5.8677182492051445,22,10-08-2018,300,bearish
56,56,avinoc,03-09-2019,3.014038964175072e-05,28-09-2019,0.001899904477985132,62.03516645164296,25,10-08-2018,389,bearish
59,59,avt,21-05-2020,0.03248671491707393,19-06-2020,0.2734842930942369,7.418342506847397,29,18-10-2017,946,bearish
60,60,avt,15-01-2021,0.08779046263013242,30-01-2021,1.207928886670146,12.75922680529932,15,18-10-2017,1185,bearish
80,80,bel,13-05-2022,0.2446582077646121,08-06-2022,1.8616261713981217,6.609089383950728,26,15-09-2020,605,bearish
93,93,box,16-01-2021,0.0011669047493562928,15-02-2021,0.12749334512641708,108.25771379090456,30,27-10-2018,812,bearish
94,94,box,17-03-2022,0.00800050860345757,15-04-2022,0.9008525168864412,111.59940605490014,29,27-10-2018,1237,bearish
96,96,bsw,14-03-2022,0.28587945928693204,02-04-2022,1.7341854473536964,5.066142183419783,19,04-07-2021,253,bearish
100,100,btnt,04-04-2019,0.001627775892071064,26-04-2019,0.05745525192778056,34.29678268835808,22,25-10-2018,161,bullish
126,126,coval,31-03-2017,1e-05,01-04-2017,0.00155,153.99999999999997,1,23-01-2015,798,bearish
130,130,coval,04-09-2020,0.001121821849921168,30-09-2020,0.009645668611021271,7.5982178112318675,26,23-01-2015,2051,bullish
132,132,coval,11-11-2021,0.00990096213807273,11-12-2021,0.17800957250534805,16.979017596768475,30,23-01-2015,2484,bearish
139,139,ctsi,13-01-2021,0.04475072878981448,12-02-2021,0.32131686176036617,6.180148132771856,30,24-04-2020,264,bearish
140,140,ctx,18-08-2021,6.4488333393637065,14-09-2021,42.74249226551103,5.62794183323217,27,22-04-2021,118,bullish
143,143,cxo,14-04-2019,0.00031143234688605216,21-04-2019,0.01195891669822338,37.39972571185403,7,02-02-2018,436,bearish
159,159,dep,28-10-2021,0.006759548485155311,25-11-2021,0.07466934242878856,10.04649853355892,28,14-04-2020,562,bullish
164,164,dexe,27-06-2021,2.8004366785873125,25-07-2021,19.93510664563588,6.118570756505088,28,06-10-2020,264,bearish
170,170,dgb,14-01-2015,3.098662207874696e-05,07-02-2015,0.00020448481949208468,5.599132327893732,24,06-02-2014,342,bullish
190,190,dvpn,10-09-2021,0.006080667292025128,27-09-2021,0.10580816023833138,16.400748167409212,17,03-04-2018,1256,bearish
191,191,dvpn,28-10-2021,0.002789703818529893,05-11-2021,0.036504953731670016,12.085601951431265,8,03-04-2018,1304,bearish
